sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:ATC_code,ADD_INFO:drug_form,ADD_INFO:strength,ADD_INFO:brand,matchScore,mappingStatus,conceptId
275,Glucos Baxter 100 mg/ml med Na 40+K 20; SOLINF,1,,B05BB02,SOLINF,,Glucos Baxter 100 mg/ml med Na 40+K 20,0.5,UNCHECKED,0
284,Zyprexa® Velotab; Olanzapin; 5 mg; ORALYO,1,,N05AH03,ORALYO,5 mg,Zyprexa® Velotab,0.5,AUTO_MAPPED,785788
286,Glucos Baxter 25 mg/ml buffrad; Glukos; SOLINF,1,,B05BA03,SOLINF,,Glucos Baxter 25 mg/ml buffrad,0.5,AUTO_MAPPED,1560524
287,Zyprexa® Velotab; Olanzapin; 20 mg; ORALYO,1,,N05AH03,ORALYO,20 mg,Zyprexa® Velotab,0.5,AUTO_MAPPED,785788
288,Antithrombin III Baxalta; PSSIJF,1,,B01AB02,PSSIJF,,Antithrombin III Baxalta,0.5,AUTO_MAPPED,1436169
294,Zoloft; Sertralin; 50 mg; FICOTA,1,,N06AB06,FICOTA,50 mg,Zoloft,0.5,AUTO_MAPPED,739138
295,Importal® Ex-Lax; Laktitol; 10 g; ORPOSA,1,,A06AD12,ORPOSA,10 g,Importal® Ex-Lax,0.5,AUTO_MAPPED,19071236
297,Glucos Baxter 50 mg/ml buffrad; Glukos; SOLINF,1,,B05BA03,SOLINF,,Glucos Baxter 50 mg/ml buffrad,0.5,AUTO_MAPPED,1560524
299,Fluoxetin Mylan; Fluoxetin; 20 mg; CAPHAR,1,,N06AB03,CAPHAR,20 mg,Fluoxetin Mylan,0.5,AUTO_MAPPED,755695
301,Cortimyk; Hydrokortison + mikonazol; 20 mg/g + 10 mg/g; CREAM,1,,D01AC20,CREAM,20 mg/g + 10 mg/g,Cortimyk,0.5,AUTO_MAPPED,975125
308,Glucos Baxter 50 mg/ml buffrad; Glukos; SOLINF,1,,B05BA03,SOLINF,,Glucos Baxter 50 mg/ml buffrad,0.5,AUTO_MAPPED,1560524
310,Pentasa; Mesalazin; 500 mg; PRRETA,1,,A07EC02,PRRETA,500 mg,Pentasa,0.5,AUTO_MAPPED,968426
315,Natriumklorid Fresenius Kabi; Natriumklorid; 9 mg/ml; SOLINF,1,,B05BB01,SOLINF,9 mg/ml,Natriumklorid Fresenius Kabi,0.5,AUTO_MAPPED,967823
318,Importal® Ex-Lax; Laktitol; 10 g; ORPOSA,1,,A06AD12,ORPOSA,10 g,Importal® Ex-Lax,0.5,AUTO_MAPPED,19071236
319,Pentasa; Mesalazin; 500 mg; PRRETA,1,,A07EC02,PRRETA,500 mg,Pentasa,0.5,AUTO_MAPPED,968426
320,Fragmin; Dalteparin; 2500 IE; SOIJPS,27,,B01AB04,SOIJPS,2500 IE,Fragmin,0.5,AUTO_MAPPED,1301065
321,Natriumklorid Baxter; Natriumklorid; 9 mg/ml; SOLINF,1,,B05BB01,SOLINF,9 mg/ml,Natriumklorid Baxter,0.5,AUTO_MAPPED,967823
329,Importal® Ex-Lax; Laktitol; 10 g; ORPOSA,1,,A06AD12,ORPOSA,10 g,Importal® Ex-Lax,0.5,AUTO_MAPPED,19071236
332,Natriumklorid Baxter; Natriumklorid; 9 mg/ml; SOLINF,1,,B05BB01,SOLINF,9 mg/ml,Natriumklorid Baxter,0.5,AUTO_MAPPED,967823
335,Fragmin; Dalteparin; 2500 IE; SOIJPS,3,,B01AB04,SOIJPS,2500 IE,Fragmin,0.5,AUTO_MAPPED,1301065
336,SelokenZOC®; Metoprolol; 25 mg; PRRETA,1,,C07AB02,PRRETA,25 mg,SelokenZOC®,0.5,AUTO_MAPPED,40167211
343,Natriumklorid Baxter; Natriumklorid; 9 mg/ml; SOLINF,1,,B05BB01,SOLINF,9 mg/ml,Natriumklorid Baxter,0.5,AUTO_MAPPED,967823
346,Clinoril; Sulindak; 200 mg; TABLET,788,,M01AB02,TABLET,200 mg,Clinoril,0.5,AUTO_MAPPED,1236610
354,Natriumklorid Baxter; Natriumklorid; 9 mg/ml; SOLINF,1,,B05BB01,SOLINF,9 mg/ml,Natriumklorid Baxter,0.5,AUTO_MAPPED,967823
360,Diflucan; Flukonazol; 150 mg; CAPHAR,1,,J02AC01,CAPHAR,150 mg,Diflucan,0.5,AUTO_MAPPED,1754994
364,Uniferon; 200 mg fe3+/ml; SOLINJ,1,,QB03AC,SOLINJ,200 mg fe3+/ml,Uniferon,0.5,UNCHECKED,0
365,Natriumklorid Baxter; Natriumklorid; 9 mg/ml; SOLINF,1,,B05BB01,SOLINF,9 mg/ml,Natriumklorid Baxter,0.5,AUTO_MAPPED,967823
369,Structolipid®; 200 mg/ml; EMUINF,1,,B05BA02,EMUINF,200 mg/ml,Structolipid®,0.5,UNCHECKED,0
370,"Mobic; Meloxikam; 7,5 mg; TABLET",1,,M01AC06,TABLET,"7,5 mg",Mobic,0.5,AUTO_MAPPED,1150345
376,Natriumklorid Baxter; Natriumklorid; 9 mg/ml; SOLINF,1,,B05BB01,SOLINF,9 mg/ml,Natriumklorid Baxter,0.5,AUTO_MAPPED,967823
381,"Mobic; Meloxikam; 7,5 mg; TABLET",1,,M01AC06,TABLET,"7,5 mg",Mobic,0.5,AUTO_MAPPED,1150345
387,Natriumklorid Baxter; Natriumklorid; 9 mg/ml; SOLINF,1,,B05BB01,SOLINF,9 mg/ml,Natriumklorid Baxter,0.5,AUTO_MAPPED,967823
404,Metronidazol Baxter; Metronidazol; 5 mg/ml; SOLINF,1,,J01XD01,SOLINF,5 mg/ml,Metronidazol Baxter,0.5,AUTO_MAPPED,1707164
415,Metronidazol Baxter; Metronidazol; 5 mg/ml; SOLINF,1,,J01XD01,SOLINF,5 mg/ml,Metronidazol Baxter,0.5,AUTO_MAPPED,1707164
432,Buspiron Actavis; Buspiron; 5 mg; TABLET,1,,N05BE01,TABLET,5 mg,Buspiron Actavis,0.5,AUTO_MAPPED,733301
437,Clindamycin ratiopharm; Klindamycin; 150 mg/ml; SOIJIF,1,,J01FF01,SOIJIF,150 mg/ml,Clindamycin ratiopharm,0.5,AUTO_MAPPED,997881
440,Albumin Octapharma; 200 g/l; SOLINF,1,,B05AA01,SOLINF,200 g/l,Albumin Octapharma,0.5,UNCHECKED,0
441,Buspiron Actavis; Buspiron; 10 mg; TABLET,1,,N05BE01,TABLET,10 mg,Buspiron Actavis,0.5,AUTO_MAPPED,733301
442,Kytril®; Granisetron; 1 mg/ml; SOLINJ,1,,A04AA02,SOLINJ,1 mg/ml,Kytril®,0.5,AUTO_MAPPED,1000772
443,Tenormin®; Atenolol; 25 mg; FICOTA,4138,,C07AB03,FICOTA,25 mg,Tenormin®,0.5,AUTO_MAPPED,19018811
448,"Elocon®; Mometason; 0,1 %; CUTSOL",1,,D07AC13,CUTSOL,"0,1 %",Elocon®,0.5,AUTO_MAPPED,905233
452,Buspiron Actavis; Buspiron; 10 mg; TABLET,1,,N05BE01,TABLET,10 mg,Buspiron Actavis,0.5,AUTO_MAPPED,733301
458,Alendronat Actavis Veckotablett; Alendronat; 70 mg; TABLET,1,,M05BA04,TABLET,70 mg,Alendronat Actavis Veckotablett,0.5,AUTO_MAPPED,1557272
459,"Vioxx; Rofecoxib; 12,5 mg; TABLET",1,,M01AH02,TABLET,"12,5 mg",Vioxx,0.5,AUTO_MAPPED,1189754
463,"Elocon®; Mometason; 0,1 %; CUTSOL",1,,D07AC13,CUTSOL,"0,1 %",Elocon®,0.5,AUTO_MAPPED,905233
478,"Atridox®; 8,8 %; PSGIGP",1,,A01AB22,PSGIGP,"8,8 %",Atridox®,0.5,AUTO_MAPPED,1738521
484,Denagard vet.; 200 mg/ml; SOLINJ,1,,QJ01XQ01,SOLINJ,200 mg/ml,Denagard vet.,0.5,UNCHECKED,0
486,Scandonest; 30 mg/ml; SOLINJ,1,,N01BB03,SOLINJ,30 mg/ml,Scandonest,0.5,AUTO_MAPPED,702774
492,"Atridox®; 8,8 %; PSGIGP",1,,A01AB22,PSGIGP,"8,8 %",Atridox®,0.5,AUTO_MAPPED,1738521
493,Act-HIB®; PSSOIJ,1,,J07AG01,PSSOIJ,,Act-HIB®,0.5,UNCHECKED,0
495,Act-HIB® Polio; PSSUIJ,1,,J07CA04,PSSUIJ,,Act-HIB® Polio,0.5,UNCHECKED,0
502,Imovax® Polio; SUSINJ,1,,J07BF03,SUSINJ,,Imovax® Polio,0.5,UNCHECKED,0
516,Denagard vet.; 20 mg/g; PRMEFE,1,,QJ01XQ01,PRMEFE,20 mg/g,Denagard vet.,0.5,UNCHECKED,0
528,Anti; 5 %; CREAM,1,,D06BB03,CREAM,5 %,Anti,0.5,AUTO_MAPPED,1703687
530,Imovax® Polio; SUSINJ,1,,J07BF03,SUSINJ,,Imovax® Polio,0.5,UNCHECKED,0
533,Recrea; Minoxidil; 20 mg/ml; CUTSOL,1,,D11AX01,CUTSOL,20 mg/ml,Recrea,0.5,AUTO_MAPPED,1309068
535,Tegretol Retard; Karbamazepin; 200 mg; PRRETA,1,,N03AF01,PRRETA,200 mg,Tegretol Retard,0.5,AUTO_MAPPED,740275
543,"Betoptic S; Betaxolol; 2,5 mg/ml; EYDRSU",1,,S01ED02,EYDRSU,"2,5 mg/ml",Betoptic S,0.5,AUTO_MAPPED,1322081
546,Crinone®; Progesteron; 8 %; VAGGEL,1,,G03DA04,VAGGEL,8 %,Crinone®,0.5,AUTO_MAPPED,1552310
551,Vioxx; Rofecoxib; 25 mg; TABLET,1,,M01AH02,TABLET,25 mg,Vioxx,0.5,AUTO_MAPPED,1189754
552,Caverject® Dual; 20 mikrogram; PSSOIJ,1,,G04BE01,PSSOIJ,20 mikrogram,Caverject® Dual,0.5,AUTO_MAPPED,1381504
555,Topimax®; Topiramat; 15 mg; CAPHAR,1,,N03AX11,CAPHAR,15 mg,Topimax®,0.5,AUTO_MAPPED,742267
557,Pravachol; Pravastatin; 20 mg; TABLET,1,,C10AA03,TABLET,20 mg,Pravachol,0.5,AUTO_MAPPED,1551860
558,Tegretol Retard; Karbamazepin; 200 mg; PRRETA,1,,N03AF01,PRRETA,200 mg,Tegretol Retard,0.5,AUTO_MAPPED,740275
559,Recrea; Minoxidil; 20 mg/ml; CUTSOL,1,,D11AX01,CUTSOL,20 mg/ml,Recrea,0.5,AUTO_MAPPED,1309068
561,Denagard vet.; 20 mg/g; PRMEFE,1,,QJ01XQ01,PRMEFE,20 mg/g,Denagard vet.,0.5,UNCHECKED,0
563,Aricept; Donepezil; 5 mg; FICOTA,1,,N06DA02,FICOTA,5 mg,Aricept,0.5,AUTO_MAPPED,715997
564,Diflucan; Flukonazol; 150 mg; CAPHAR,1,,J02AC01,CAPHAR,150 mg,Diflucan,0.5,AUTO_MAPPED,1754994
566,"Betoptic S; Betaxolol; 2,5 mg/ml; EYDRSU",1,,S01ED02,EYDRSU,"2,5 mg/ml",Betoptic S,0.5,AUTO_MAPPED,1322081
569,Tegretol Retard; Karbamazepin; 200 mg; PRRETA,1,,N03AF01,PRRETA,200 mg,Tegretol Retard,0.5,AUTO_MAPPED,740275
570,"Prograf; Takrolimus; 0,5 mg; CAPHAR",1,,L04AD02,CAPHAR,"0,5 mg",Prograf,0.5,AUTO_MAPPED,950637
572,Clindamycin ratiopharm; Klindamycin; 150 mg/ml; SOIJIF,1,,J01FF01,SOIJIF,150 mg/ml,Clindamycin ratiopharm,0.5,AUTO_MAPPED,997881
584,Albumin Octapharma; 50 g/l; SOLINF,1,,B05AA01,SOLINF,50 g/l,Albumin Octapharma,0.5,UNCHECKED,0
591,Entocort; Budesonid; 3 mg; PRRECH,1,,A07EA06,PRRECH,3 mg,Entocort,0.5,AUTO_MAPPED,939259
594,Anti; 5 %; CREAM,1,,D06BB03,CREAM,5 %,Anti,0.5,AUTO_MAPPED,1703687
595,Albumin Octapharma; 50 g/l; SOLINF,1,,B05AA01,SOLINF,50 g/l,Albumin Octapharma,0.5,UNCHECKED,0
597,Act-HIB® Polio; PSSUIJ,1,,J07CA04,PSSUIJ,,Act-HIB® Polio,0.5,UNCHECKED,0
602,Entocort; Budesonid; 3 mg; PRRECH,1,,A07EA06,PRRECH,3 mg,Entocort,0.5,AUTO_MAPPED,939259
609,Tenormin®; Atenolol; 50 mg; FICOTA,2106,,C07AB03,FICOTA,50 mg,Tenormin®,0.5,AUTO_MAPPED,1314008
613,Crinone®; Progesteron; 8 %; VAGGEL,1,,G03DA04,VAGGEL,8 %,Crinone®,0.5,AUTO_MAPPED,1552310
618,Pravachol; Pravastatin; 20 mg; TABLET,9,,C10AA03,TABLET,20 mg,Pravachol,0.5,AUTO_MAPPED,40175394
620,Suxinutin; 250 mg; CAPSOF,1,,N03AD01,CAPSOF,250 mg,Suxinutin,0.5,AUTO_MAPPED,750119
622,Tenormin®; Atenolol; 100 mg; FICOTA,209,,C07AB03,FICOTA,100 mg,Tenormin®,0.5,AUTO_MAPPED,1314006
626,Isofluran Baxter; INVALI,1,,N01AB06,INVALI,,Isofluran Baxter,0.5,AUTO_MAPPED,782043
630,Aricept; Donepezil; 5 mg; FICOTA,1,,N06DA02,FICOTA,5 mg,Aricept,0.5,AUTO_MAPPED,715997
639,Gemadol; 200 mg; PRRECH,1,,N02AX02,PRRECH,200 mg,Gemadol,0.5,AUTO_MAPPED,1103314
649,"Betoptic S; Betaxolol; 2,5 mg/ml; EYDRSU",1,,S01ED02,EYDRSU,"2,5 mg/ml",Betoptic S,0.5,AUTO_MAPPED,1322081
656,Gemadol; 200 mg; PRRECH,1,,N02AX02,PRRECH,200 mg,Gemadol,0.5,AUTO_MAPPED,1103314
657,Tenormin®; Atenolol; 25 mg; FICOTA,7602,,C07AB03,FICOTA,25 mg,Tenormin®,0.5,AUTO_MAPPED,19018811
662,Gemadol; 100 mg; PRRECH,1,,N02AX02,PRRECH,100 mg,Gemadol,0.5,AUTO_MAPPED,1103314
664,Tenormin®; Atenolol; 25 mg; FICOTA,70870,,C07AB03,FICOTA,25 mg,Tenormin®,0.5,AUTO_MAPPED,19018811
668,Tenormin®; Atenolol; 50 mg; FICOTA,10072,,C07AB03,FICOTA,50 mg,Tenormin®,0.5,AUTO_MAPPED,1314008
675,Tenormin®; Atenolol; 50 mg; FICOTA,118556,,C07AB03,FICOTA,50 mg,Tenormin®,0.5,AUTO_MAPPED,1314008
678,Gemadol; 150 mg; PRRECH,1,,N02AX02,PRRECH,150 mg,Gemadol,0.5,AUTO_MAPPED,1103314
681,Tenormin®; Atenolol; 100 mg; FICOTA,3919,,C07AB03,FICOTA,100 mg,Tenormin®,0.5,AUTO_MAPPED,1314006
686,Tenormin®; Atenolol; 100 mg; FICOTA,43855,,C07AB03,FICOTA,100 mg,Tenormin®,0.5,AUTO_MAPPED,1314006
689,Gemadol; 150 mg; PRRECH,1,,N02AX02,PRRECH,150 mg,Gemadol,0.5,AUTO_MAPPED,1103314
697,"Tenormin®; 0,5 mg/ml; SOLINJ",1,,C07AB03,SOLINJ,"0,5 mg/ml",Tenormin®,0.5,AUTO_MAPPED,1314002
704,Gemadol; 50 mg; PRRECH,1,,N02AX02,PRRECH,50 mg,Gemadol,0.5,AUTO_MAPPED,1103314
708,Gemadol; 50 mg; PRRECH,1,,N02AX02,PRRECH,50 mg,Gemadol,0.5,AUTO_MAPPED,1103314
717,Gemadol; 100 mg; PRRECH,1,,N02AX02,PRRECH,100 mg,Gemadol,0.5,AUTO_MAPPED,1103314
740,Denagard vet.; 125 mg/ml; SODRWA,1,,QJ01XQ01,SODRWA,125 mg/ml,Denagard vet.,0.5,UNCHECKED,0
742,Denagard vet.; 200 mg/ml; SOLINJ,1,,QJ01XQ01,SOLINJ,200 mg/ml,Denagard vet.,0.5,UNCHECKED,0
746,Sonata®; Zaleplon; 5 mg; CAPHAR,1,,N05CF03,CAPHAR,5 mg,Sonata®,0.5,AUTO_MAPPED,720727
747,Oestriol Aspen; Estriol; 1 mg; TABLET,1,,G03CA04,TABLET,1 mg,Oestriol Aspen,0.5,AUTO_MAPPED,19049038
750,Propyless®; 200 mg/g; CUTEMU,1,,D02AX,CUTEMU,200 mg/g,Propyless®,0.5,UNCHECKED,0
751,Zyrlex®; Cetirizin; 10 mg; FICOTA,1,,R06AE07,FICOTA,10 mg,Zyrlex®,0.5,AUTO_MAPPED,1149196
761,Pulmicort Turbuhaler; Budesonid; 100 mikrogram/dos; INHPOW,1,,R03BA02,INHPOW,100 mikrogram/dos,Pulmicort Turbuhaler,0.5,AUTO_MAPPED,939259
764,Propyless®; 200 mg/g; CUTEMU,1,,D02AX,CUTEMU,200 mg/g,Propyless®,0.5,UNCHECKED,0
767,Sonata®; Zaleplon; 10 mg; CAPHAR,1,,N05CF03,CAPHAR,10 mg,Sonata®,0.5,AUTO_MAPPED,720727
772,Albumin Octapharma; 200 g/l; SOLINF,1,,B05AA01,SOLINF,200 g/l,Albumin Octapharma,0.5,UNCHECKED,0
775,Trinordiol; Levonorgestrel + etinylöstradiol; TABLET,1,,G03AB03,TABLET,,Trinordiol,0.5,UNCHECKED,0
777,"Minirin; Desmopressin; 0,1 mg/ml; NASPSO",1,,H01BA02,NASPSO,"0,1 mg/ml",Minirin,0.5,AUTO_MAPPED,1517070
784,Caverject® Dual; 10 mikrogram; PSSOIJ,1,,G04BE01,PSSOIJ,10 mikrogram,Caverject® Dual,0.5,AUTO_MAPPED,1381504
789,Trinordiol; Levonorgestrel + etinylöstradiol; TABLET,1,,G03AB03,TABLET,,Trinordiol,0.5,UNCHECKED,0
798,Trinordiol; Levonorgestrel + etinylöstradiol; TABLET,1,,G03AB03,TABLET,,Trinordiol,0.5,UNCHECKED,0
814,TRIZIVIR; Abakavir + lamivudin + zidovudin; 300 mg/150 mg/300 mg; FICOTA,1,,J05AR04,FICOTA,300 mg/150 mg/300 mg,TRIZIVIR,0.5,AUTO_MAPPED,1736971
818,Orbax® vet.; 75 mg; FICOTA,1,,QJ01MA95,FICOTA,75 mg,Orbax® vet.,0.5,UNCHECKED,0
823,"Captopril ratiopharm; Captopril; 12,5 mg; TABLET",10942,,C09AA01,TABLET,"12,5 mg",Captopril ratiopharm,0.5,AUTO_MAPPED,19074672
827,Pankreon forte; Pankreatin; GARECH,1,,A09AA02,GARECH,,Pankreon forte,0.5,AUTO_MAPPED,926487
829,"Minirin; Desmopressin; 0,2 mg; TABLET",1,,H01BA02,TABLET,"0,2 mg",Minirin,0.5,AUTO_MAPPED,1517070
831,Zantac Brus; 150 mg; EFFTAB,1,,A02BA02,EFFTAB,150 mg,Zantac Brus,0.5,AUTO_MAPPED,961047
834,"Plendil; Felodipin; 2,5 mg; PRRETA",1,,C08CA02,PRRETA,"2,5 mg",Plendil,0.5,AUTO_MAPPED,1353776
839,Orbax® vet.; 25 mg; FICOTA,1,,QJ01MA95,FICOTA,25 mg,Orbax® vet.,0.5,UNCHECKED,0
842,Xatral; Alfuzosin; 5 mg; PRRETA,1,,G04CA01,PRRETA,5 mg,Xatral,0.5,AUTO_MAPPED,930021
843,Trinovum; Noretisteron + etinylestradiol; TABLET,1,,G03AB04,TABLET,,Trinovum,0.5,AUTO_MAPPED,1521369
845,Lamictal; Lamotrigin; 25 mg; TABLET,1,,N03AX09,TABLET,25 mg,Lamictal,0.5,AUTO_MAPPED,705103
848,Captopril ratiopharm; Captopril; 25 mg; TABLET,21130,,C09AA01,TABLET,25 mg,Captopril ratiopharm,0.5,AUTO_MAPPED,1340161
