VARUNR,LNAMN,FREQUENCY,TARGET_CONCEPT_ID,TARGET_CONCEPT_NAME,TARGET_CONCEPT_CLASS_ID
56341,"Salures, tablett 2,5 mg",611669,19073982,Bendroflumethiazide 2.5 MG Oral Tablet,Clinical Drug
52078,"Metoprolol Sandoz, depottablett 50 mg",602105,40167216,metoprolol succinate 50 MG Extended Release Oral Tablet,Clinical Drug
543652,"Furix Retard, depotkapsel, hård 30 mg",583039,19103817,Furosemide 30 MG Extended Release Oral Capsule,Clinical Drug
13769,"Simvastatin Arrow, filmdragerad tablett 20 mg",560714,1539411,Simvastatin 20 MG Oral Tablet,Clinical Drug
135509,"Lasix Retard, depotkapsel, hård 60 mg Sanofi AB",513654,956944,Furosemide 60 MG Extended Release Oral Capsule,Clinical Drug
131060,"Digoxin BioPhausia, tablett 0,25 mg",489756,19018937,Digoxin 0.25 MG Oral Tablet,Clinical Drug
52114,"Metoprolol Sandoz, depottablett 100 mg",482625,40167200,metoprolol succinate 100 MG Extended Release Oral Tablet,Clinical Drug
152274,"Imdur, depottablett 60 mg",473606,19069136,Isosorbide Mononitrate,Ingredient
6024,"NovoMix 30 FlexPen, inj-vätska, suspension, förfyl",456557,NA,NA,Not Mapped*
20130,"Furix, tablett 40 mg",439813,957136,Furosemide 40 MG Oral Tablet,Clinical Drug
11492,"Felodipin Teva, depottablett 5 mg",417213,1353818,Felodipine 5 MG Extended Release Oral Tablet,Clinical Drug
436048,"SelokenZOC, depottablett 50 mg AstraZeneca AB",413410,40167216,metoprolol succinate 50 MG Extended Release Oral Tablet,Clinical Drug
182485,"Emconcor CHF, filmdragerad tablett 2,5 mg",399091,40166188,Bisoprolol Fumarate 2.5 MG Oral Tablet,Clinical Drug
390823,"Furix, tablett 20 mg",398239,19077546,Furosemide 20 MG Oral Tablet,Clinical Drug
541250,"Spironolakton Pfizer, tablett 25 mg",390599,19079658,Spironolactone 25 MG Oral Tablet,Clinical Drug
543637,"Furix Retard, depotkapsel, hård 60 mg",389474,956944,Furosemide 60 MG Extended Release Oral Capsule,Clinical Drug
19372,"Impugan, tablett 20 mg",384603,19077546,Furosemide 20 MG Oral Tablet,Clinical Drug
390872,"Furix, tablett 40 mg",376354,957136,Furosemide 40 MG Oral Tablet,Clinical Drug
510082,"Bisoprolol Sandoz, filmdragerad tablett 5 mg",374319,40162878,Bisoprolol Fumarate 5 MG Oral Tablet,Clinical Drug
113030,Simvastatin Sandoz tab 20mg,368169,1539411,Simvastatin 20 MG Oral Tablet,Clinical Drug
88691,"Omeprazol Pensa, enterokapsel, hård 20 mg",352459,19019418,Omeprazole 20 MG Delayed Release Oral Capsule,Clinical Drug
28676,"Enalapril Sandoz, tablett 5 mg",348865,40165789,Enalapril Maleate 5 MG Oral Tablet,Clinical Drug
148411,"Impugan, tablett 40 mg",347030,957136,Furosemide 40 MG Oral Tablet,Clinical Drug
7731,"Calcichew-D3 Spearmint, tuggtablett 500 mg/400 IE",324377,NA,NA,Not Mapped*
13499,"Insulatard FlexPen, inj-vätska, suspension i förfy",321807,1596977,"Regular Insulin, Human",Ingredient
196022,"Atenolol Mylan, tablett 50 mg",313464,1314008,Atenolol 50 MG Oral Tablet,Clinical Drug
97070,"Simvastatin Sandoz, filmdragerad tablett 20 mg",311812,1539411,Simvastatin 20 MG Oral Tablet,Clinical Drug
543561,"SelokenZOC, depottablett 50 mg AstraZeneca AB",306933,40167216,metoprolol succinate 50 MG Extended Release Oral Tablet,Clinical Drug
25460,"SelokenZOC, depottablett 100 mg AstraZeneca AB",305365,40167200,metoprolol succinate 100 MG Extended Release Oral Tablet,Clinical Drug
2384,"Metformin Hexal, filmdragerad tablett 500 mg",287274,40164929,Metformin hydrochloride 500 MG Oral Tablet,Clinical Drug
390856,"Furix, tablett 40 mg",285655,957136,Furosemide 40 MG Oral Tablet,Clinical Drug
47587,"SelokenZOC, depottablett 50 mg AstraZeneca AB",284542,40167216,metoprolol succinate 50 MG Extended Release Oral Tablet,Clinical Drug
21942,"Furosemid Hexal, tablett 40 mg",264849,957136,Furosemide 40 MG Oral Tablet,Clinical Drug
502226,"Bisoprolol Sandoz, filmdragerad tablett 2,5 mg",262590,40166188,Bisoprolol Fumarate 2.5 MG Oral Tablet,Clinical Drug
26657,"Enalapril Sandoz, tablett 10 mg",258765,40165762,Enalapril Maleate 10 MG Oral Tablet,Clinical Drug
10871,"Emconcor, filmdragerad tablett 5 mg Merck AB",257507,40162878,Bisoprolol Fumarate 5 MG Oral Tablet,Clinical Drug
543587,"SelokenZOC, depottablett 100 mg AstraZeneca AB",250707,40167200,metoprolol succinate 100 MG Extended Release Oral Tablet,Clinical Drug
78185,"Omeprazol Pensa, enterokapsel, hård 20 mg",250108,19019418,Omeprazole 20 MG Delayed Release Oral Capsule,Clinical Drug
163817,"Amloratio, tablett 5 mg",249633,1332419,Amlodipine 5 MG Oral Tablet,Clinical Drug
185124,"Esidrex, tablett 25 mg",245846,19078106,Hydrochlorothiazide 25 MG Oral Tablet,Clinical Drug
40148,"Bisoprolol Teva, tablett 5 mg",245635,40162878,Bisoprolol Fumarate 5 MG Oral Tablet,Clinical Drug
63905,"Felodipin HEXAL, depottablett 5 mg",245632,1353818,Felodipine 5 MG Extended Release Oral Tablet,Clinical Drug
5518,Enalapril Sandoz tabl  5mg,243718,40165789,Enalapril Maleate 5 MG Oral Tablet,Clinical Drug
556704,"Spironolakton Pfizer, tablett 50 mg",241360,970283,Spironolactone 50 MG Oral Tablet,Clinical Drug
169774,"Warfarin Orion, tablett 2,5 mg",240421,40163534,Warfarin Sodium 2.5 MG Oral Tablet,Clinical Drug
46920,"Lanacrist tabl 0,13mg",240229,19018935,Digoxin 0.125 MG Oral Tablet,Clinical Drug
18187,"Spironolakton Nycomed, tablett 25 mg",239133,19079658,Spironolactone 25 MG Oral Tablet,Clinical Drug
186866,"Metformin Meda, tablett 500 mg",238680,40164929,Metformin hydrochloride 500 MG Oral Tablet,Clinical Drug
524223,"Imdur, depottablett 30 mg",236247,19069136,Isosorbide Mononitrate,Ingredient
4195,"Imdur, depottablett 60 mg",234544,19069136,Isosorbide Mononitrate,Ingredient
127787,"Furosemid Teva, tablett 40 mg",231481,957136,Furosemide 40 MG Oral Tablet,Clinical Drug
505367,"Enalapril Sandoz, tablett 2,5 mg",227594,40165767,Enalapril Maleate 2.5 MG Oral Tablet,Clinical Drug
195040,"Atenolol Mylan, tablett 25 mg",227174,19018811,Atenolol 25 MG Oral Tablet,Clinical Drug
5529,Enalapril Sandoz tabl 10mg,226172,40165762,Enalapril Maleate 10 MG Oral Tablet,Clinical Drug
56374,"Salures, tablett 5 mg",223170,1316356,Bendroflumethiazide 5 MG Oral Tablet,Clinical Drug
25463,"Nitrolingual, sublingualspray 0,4 mg/dos Pharmapol",220143,40139614,Nitroglycerin Mucosal Spray,Clinical Drug Form
23641,"Enalapril Krka, tablett 10 mg",219977,40165762,Enalapril Maleate 10 MG Oral Tablet,Clinical Drug
87488,"Metformin Meda, tablett 500 mg",217301,40164929,Metformin hydrochloride 500 MG Oral Tablet,Clinical Drug
63568,"Emconcor, filmdragerad tablett 5 mg Merck AB",207675,40162878,Bisoprolol Fumarate 5 MG Oral Tablet,Clinical Drug
79061,"Cozaar, filmdragerad tablett 50 mg Merck Sharp & D",207577,40185304,Losartan Potassium 50 MG Oral Tablet,Clinical Drug
21834,"Metoprolol Sandoz, depottablett 50 mg",203950,40167216,metoprolol succinate 50 MG Extended Release Oral Tablet,Clinical Drug
21845,"Metoprolol Sandoz, depottablett 100 mg",200809,40167200,metoprolol succinate 100 MG Extended Release Oral Tablet,Clinical Drug
31997,"Sotalol Mylan, tablett 80 mg",200580,40173997,Sotalol Hydrochloride 80 MG Oral Tablet,Clinical Drug
10379,"Speridol, filmdragerad tablett 5 mg",199861,40162878,Bisoprolol Fumarate 5 MG Oral Tablet,Clinical Drug
111651,"Simvastatin Sandoz, filmdragerad tablett 10 mg",198741,1539463,Simvastatin 10 MG Oral Tablet,Clinical Drug
6102,"NovoRapid FlexPen, injektionsvätska, lösning i för",196814,NA,NA,Not Mapped*
391011,"Normorix mite, tablett 2,5 mg/25 mg",196138,NA,NA,Not Mapped*
90411,"Ramipril HEXAL, tablett 5 mg",194584,1334492,Ramipril 5 MG Oral Tablet,Clinical Drug
97081,"Simvastatin Sandoz, filmdragerad tablett 40 mg",193785,1539407,Simvastatin 40 MG Oral Tablet,Clinical Drug
82056,"Clopidogrel Actavis, filmdragerad tablett 75 mg",193225,19075601,clopidogrel 75 MG Oral Tablet,Clinical Drug
96387,"Simvastatin Sandoz, filmdragerad tablett 20 mg",193047,1539411,Simvastatin 20 MG Oral Tablet,Clinical Drug
20847,"Plavix, filmdragerad tablett 75 mg Sanofi AB",189959,19075601,clopidogrel 75 MG Oral Tablet,Clinical Drug
76897,"Kalcipos-D forte, filmdragerad tablett 500 mg/800",186067,NA,NA,Not Mapped*
52051,"Metoprolol Sandoz, depottablett 25 mg",183337,40167211,metoprolol succinate 25 MG Extended Release Oral Tablet,Clinical Drug
372813,"Cozaar, filmdragerad tablett 50 mg Merck Sharp & D",180606,40185304,Losartan Potassium 50 MG Oral Tablet,Clinical Drug
10360,"SelokenZOC, depottablett 25 mg",179229,40167211,metoprolol succinate 25 MG Extended Release Oral Tablet,Clinical Drug
498169,"Enalapril Sandoz, tablett 10 mg",175211,40165762,Enalapril Maleate 10 MG Oral Tablet,Clinical Drug
5385,"Enalapril Sandoz tabl 2,5mg",174106,40165767,Enalapril Maleate 2.5 MG Oral Tablet,Clinical Drug
23649,"Enalapril Krka, tablett 20 mg",169943,40165773,Enalapril Maleate 20 MG Oral Tablet,Clinical Drug
1007,"Kalcipos-D, filmdragerad tablett 500mg/400 IE",169080,NA,NA,Not Mapped*
23738,"Enalapril Krka, tablett 5 mg",167136,40165789,Enalapril Maleate 5 MG Oral Tablet,Clinical Drug
443689,"Amilorid Mylan, tablett 5 mg",166470,40177829,Amiloride Hydrochloride 5 MG Oral Tablet,Clinical Drug
47596,"SelokenZOC, depottablett 100 mg AstraZeneca AB",166181,40167200,metoprolol succinate 100 MG Extended Release Oral Tablet,Clinical Drug
97238,"Normorix, tablett 5 mg/50 mg",163858,NA,NA,Not Mapped*
64623,"Simvastatin Ranbaxy, filmdragerad tablett 20 mg",163204,1539411,Simvastatin 20 MG Oral Tablet,Clinical Drug
96415,"Simvastatin Sandoz, filmdragerad tablett 40 mg",162866,1539407,Simvastatin 40 MG Oral Tablet,Clinical Drug
83092,"Simvastatin Arrow, Filmdragerad tablett 40 mg",161484,1539407,Simvastatin 40 MG Oral Tablet,Clinical Drug
90400,"Ramipril HEXAL, tablett 2,5 mg",160675,1334461,Ramipril 2.5 MG Oral Tablet,Clinical Drug
13496,"Omona, enterokapsel, hård 20 mg Distriquimica S.A.",160127,19019418,Omeprazole 20 MG Delayed Release Oral Capsule,Clinical Drug
21176,"Ramipril HEXAL, tablett 5 mg",156380,1334492,Ramipril 5 MG Oral Tablet,Clinical Drug
76106,Ramipril HEXAL tab  5mg,154321,1334492,Ramipril 5 MG Oral Tablet,Clinical Drug
129685,"Simvastatin Teva, filmdragerad tablett 40 mg",152487,1539407,Simvastatin 40 MG Oral Tablet,Clinical Drug
95262,"Bisoprolol Sandoz, filmdragerad tablett 5 mg",150821,40162878,Bisoprolol Fumarate 5 MG Oral Tablet,Clinical Drug
21223,Simvastatin Actavis ta 20mg,150589,1539411,Simvastatin 20 MG Oral Tablet,Clinical Drug
58090,"Losartan Actavis, filmdragerad tablett 50 mg",150489,40185304,Losartan Potassium 50 MG Oral Tablet,Clinical Drug
490630,"Omeprazol Teva, enterokapsel, hård 20 mg",149384,19019418,Omeprazole 20 MG Delayed Release Oral Capsule,Clinical Drug
559021,"Isoptin Retard, depottablett 120 mg BGP Products A",147187,40171849,Verapamil hydrochloride 120 MG Extended Release Oral Tablet,Clinical Drug
531020,"Glytrin, sublingualspray 0,4 mg/dos Meda AB",146676,40139614,Nitroglycerin Mucosal Spray,Clinical Drug Form
35949,"Atacand, tablett 8 mg AstraZeneca AB",145450,1351559,candesartan cilexetil 8 MG Oral Tablet,Clinical Drug
524694,"Nitromex, resoriblett, sublingual 0,25 mg",144693,19111043,Nitroglycerin 0.25 MG,Clinical Drug Comp
184080,"Enalapril Sandoz, tablett 20 mg",144139,40165773,Enalapril Maleate 20 MG Oral Tablet,Clinical Drug
13679,"Simvastatin Sandoz, filmdragerad tablett 20 mg",143850,1539411,Simvastatin 20 MG Oral Tablet,Clinical Drug
11514,"Felodipin Teva, depottablett 2,5 mg",140286,1353780,Felodipine 2.5 MG Extended Release Oral Tablet,Clinical Drug
129674,"Simvastatin Teva, filmdragerad tablett 20 mg",138967,1539411,Simvastatin 20 MG Oral Tablet,Clinical Drug
23685,"Simvastatin Krka, filmdragerad tablett 20 mg",137371,1539411,Simvastatin 20 MG Oral Tablet,Clinical Drug
47578,"SelokenZOC, depottablett 25 mg",136849,40167211,metoprolol succinate 25 MG Extended Release Oral Tablet,Clinical Drug
7710,"Calcichew-D3 Spearmint, tuggtablett 500 mg/400 IE",136269,NA,NA,Not Mapped*
7207,"Metoprolol GEA Retard, depottablett 50 mg",135510,40167216,metoprolol succinate 50 MG Extended Release Oral Tablet,Clinical Drug
57042,"Atacand Plus, tablett 16 mg/12,5 mg AstraZeneca AB",135057,NA,NA,Not Mapped*
108007,"Omeprazol Teva, enterokapsel, hård 20 mg",132685,19019418,Omeprazole 20 MG Delayed Release Oral Capsule,Clinical Drug
76088,"Ramipril HEXAL, tablett 2,5 mg",130987,1334461,Ramipril 2.5 MG Oral Tablet,Clinical Drug
129668,"Natriumbikarbonat Recip, tablett 1 g",129102,NA,NA,Not Mapped*
474403,Emconcor tabl  5mg Merck,128091,40162878,Bisoprolol Fumarate 5 MG Oral Tablet,Clinical Drug
68445,"Tambocor, tablett 100 mg Meda AB",127668,40169046,Flecainide Acetate 100 MG Oral Tablet,Clinical Drug
143834,"Imdur, depottablett 60 mg",125323,19069136,Isosorbide Mononitrate,Ingredient
196550,"Glibenklamid Recip, tablett 3,5 mg",124847,19106974,Glyburide 3.5 MG Oral Tablet,Clinical Drug
10513,"Isosorbidmononitrat Astimex, depottablett 60 mg",123271,19069136,Isosorbide Mononitrate,Ingredient
164228,"Isosorbidmononitrat Mylan, tablett 20 mg",119669,19069136,Isosorbide Mononitrate,Ingredient
18148,"Atenolol Nycomed, filmdragerad tablett 50 mg",119474,1314008,Atenolol 50 MG Oral Tablet,Clinical Drug
675,"Tenormin, filmdragerad tablett 50 mg",118556,1314008,Atenolol 50 MG Oral Tablet,Clinical Drug
39778,"Furosemid Copyfarm, tablett 40 mg",114516,957136,Furosemide 40 MG Oral Tablet,Clinical Drug
142307,"Cordarone, tablett 200 mg Sanofi AB",114046,1309992,Amiodarone hydrochloride 200 MG Oral Tablet,Clinical Drug
49187,"Isosorbidmononitrat Mylan, depottablett 60 mg",113967,19069136,Isosorbide Mononitrate,Ingredient
93188,"Enalapril/Hydrochlorothiazide Teva, tablett 20 mg/",112838,NA,NA,Not Mapped*
113039,Simvastatin Sandoz tab 40mg,112817,1539407,Simvastatin 40 MG Oral Tablet,Clinical Drug
7231,"Metoprolol GEA Retard, depottablett 100 mg",112791,40167200,metoprolol succinate 100 MG Extended Release Oral Tablet,Clinical Drug
47159,"Sotalol Mylan, tablett 40 mg",110099,40173995,Sotalol Hydrochloride 40 MG Oral Tablet,Clinical Drug
35311,"Atacand, tablett 16 mg AstraZeneca AB",109773,1351583,candesartan cilexetil 16 MG Oral Tablet,Clinical Drug
75527,"Metoprolol Orion, Depottablett 50 mg",109668,40167216,metoprolol succinate 50 MG Extended Release Oral Tablet,Clinical Drug
524710,"Nitromex, resoriblett, sublingual 0,5 mg",109078,1361861,Nitroglycerin 0.5 MG Sublingual Tablet,Clinical Drug
9637,"Atenolol Sandoz, tablett 50 mg",108627,1314008,Atenolol 50 MG Oral Tablet,Clinical Drug
177584,"Emconcor CHF, filmdragerad tablett 1,25 mg",108588,40166187,Bisoprolol Fumarate 1.25 MG Oral Tablet,Clinical Drug
60096,"Metoprolol Sandoz, depottablett 200 mg",107899,40167207,metoprolol succinate 200 MG Extended Release Oral Tablet,Clinical Drug
40160,"Bisoprolol Teva, tablett 10 mg",105268,40162867,Bisoprolol Fumarate 10 MG Oral Tablet,Clinical Drug
196535,"Glibenklamid Recip, tablett 1,75 mg",104706,19106975,Glyburide 1.75 MG Oral Tablet,Clinical Drug
482448,"Cardizem Retard, depottablett 90 mg",103690,19134552,Diltiazem 90 MG Extended Release Oral Tablet,Clinical Drug
482448,"Cardizem Retard, depottablett 90 mg",103690,19133612,Diltiazem Hydrochloride 90 MG Extended Release Oral Tablet,Clinical Drug
10551,"Bisoprolol Actavis, tablett 5 mg",101799,40162878,Bisoprolol Fumarate 5 MG Oral Tablet,Clinical Drug
18878,"Artrox, filmdragerad tablett 625 mg",100782,19129266,Glucosamine 625 MG Oral Tablet,Clinical Drug
5723,"Cozaar, filmdragerad tablett 12,5 mg",98476,1367533,Losartan 12.5 MG Oral Tablet,Clinical Drug
76888,"Kalcipos-D forte, filmdragerad tablett 500 mg/800",96495,NA,NA,Not Mapped*
574889,"Sotalol Mylan, tablett 80 mg",96421,40173997,Sotalol Hydrochloride 80 MG Oral Tablet,Clinical Drug
97641,"Bisoprolol Sandoz, filmdragerad tablett 2,5 mg",96407,40166188,Bisoprolol Fumarate 2.5 MG Oral Tablet,Clinical Drug
192112,"Plendil, depottablett 5 mg AstraZeneca AB",96078,1353818,Felodipine 5 MG Extended Release Oral Tablet,Clinical Drug
162885,"Simvastatin Bluefish, filmdragerad tablett 20 mg",95511,1539411,Simvastatin 20 MG Oral Tablet,Clinical Drug
25668,"SelokenZOC, depottablett 200 mg AstraZeneca AB",95112,40167207,metoprolol succinate 200 MG Extended Release Oral Tablet,Clinical Drug
64641,"Simvastatin Ranbaxy, filmdragerad tablett 40 mg",95091,1539407,Simvastatin 40 MG Oral Tablet,Clinical Drug
37556,"Atacand, tablett 4 mg AstraZeneca AB",94599,1351558,candesartan cilexetil 4 MG Oral Tablet,Clinical Drug
23077,"Amilorid Mylan, tablett 5 mg",94394,40177829,Amiloride Hydrochloride 5 MG Oral Tablet,Clinical Drug
56651,"Omeprazol BMM Pharma, enterotablett 20 mg",93536,19102189,Omeprazole 20 MG Delayed Release Oral Tablet,Clinical Drug
449395,"Amlodipin Sandoz, Tablett 5 mg",93319,1332419,Amlodipine 5 MG Oral Tablet,Clinical Drug
457760,"Enalapril Sandoz, tablett 5 mg",93220,40165789,Enalapril Maleate 5 MG Oral Tablet,Clinical Drug
2268,"Omeprazol Mylan, enterokapsel, hård 20 mg",93133,19019418,Omeprazole 20 MG Delayed Release Oral Capsule,Clinical Drug
102871,"Imdur, depottablett 60 mg",93099,19069136,Isosorbide Mononitrate,Ingredient
433409,"Sotalol Mylan, tablett 40 mg",91434,40173995,Sotalol Hydrochloride 40 MG Oral Tablet,Clinical Drug
21245,Simvastatin Actavis ta 40mg,91372,1539407,Simvastatin 40 MG Oral Tablet,Clinical Drug
12898,"Mindiab, tablett 5 mg Pfizer AB",90908,19077638,Glipizide 5 MG Oral Tablet,Clinical Drug
420497,"Fragmin, inj-vätska, lösning, förfylld spruta 5000",90127,1301065,Dalteparin,Ingredient
21165,"Ramipril HEXAL, tablett 2,5 mg",88442,1334461,Ramipril 2.5 MG Oral Tablet,Clinical Drug
5540,Enalapril Sandoz tabl 20mg,88134,40165773,Enalapril Maleate 20 MG Oral Tablet,Clinical Drug
39283,"Losartan Teva, filmdragerad tablett 50 mg",88120,40185304,Losartan Potassium 50 MG Oral Tablet,Clinical Drug
40742,"Felodipin Teva, depottablett 2,5 mg",87868,1353780,Felodipine 2.5 MG Extended Release Oral Tablet,Clinical Drug
35568,"Atacand, tablett 16 mg AstraZeneca AB",87647,1351583,candesartan cilexetil 16 MG Oral Tablet,Clinical Drug
31857,"Amlodipin Accord, tablett 5 mg",87433,1332419,Amlodipine 5 MG Oral Tablet,Clinical Drug
556696,"Spironolakton Pfizer, tablett 50 mg",87070,970283,Spironolactone 50 MG Oral Tablet,Clinical Drug
36228,"Atacand, tablett 8 mg AstraZeneca AB",86721,1351559,candesartan cilexetil 8 MG Oral Tablet,Clinical Drug
524854,"Omeprazol Evolan, enterokapsel, hård 20 mg",85963,19019418,Omeprazole 20 MG Delayed Release Oral Capsule,Clinical Drug
116331,"Enalapril Actavis, tablett 10 mg",85805,40165762,Enalapril Maleate 10 MG Oral Tablet,Clinical Drug
14420,"Plendil, depottablett 5 mg AstraZeneca AB",85430,1353818,Felodipine 5 MG Extended Release Oral Tablet,Clinical Drug
25052,"Enalapril Krka, tablett 5 mg",85037,40165789,Enalapril Maleate 5 MG Oral Tablet,Clinical Drug
1432,"Nexium, enterotablett 20 mg AstraZeneca AB",84711,904457,Esomeprazole 20 MG Delayed Release Oral Tablet,Clinical Drug
511964,"Furosemid Recip, tablett 40 mg",83663,957136,Furosemide 40 MG Oral Tablet,Clinical Drug
13725,"Simvastatin Arrow, filmdragerad tablett 10 mg",81407,1539463,Simvastatin 10 MG Oral Tablet,Clinical Drug
8923,"Triatec, tablett 5 mg Sanofi AB",81111,1334492,Ramipril 5 MG Oral Tablet,Clinical Drug
147686,"Impugan, tablett 500 mg",80764,19022069,Furosemide 500 MG Oral Tablet,Clinical Drug
13701,"Simvastatin Sandoz, filmdragerad tablett 40 mg",80189,1539407,Simvastatin 40 MG Oral Tablet,Clinical Drug
416891,"Kalcipos, filmdragerad tablett 500 mg",79243,19082680,Calcium Carbonate 500 MG Oral Tablet,Clinical Drug
63375,"Amlodipin Sandoz, tablett 5 mg",79194,1332419,Amlodipine 5 MG Oral Tablet,Clinical Drug
21539,"Ramipril Actavis, tablett 5 mg",79127,1334492,Ramipril 5 MG Oral Tablet,Clinical Drug
58735,Lasix Retard depkaps 30mg Ave,78868,19103817,Furosemide 30 MG Extended Release Oral Capsule,Clinical Drug
63914,"Felodipin HEXAL, depottablett 10 mg",78312,19125704,Felodipine 10 MG Extended Release Oral Tablet,Clinical Drug
2954,"Lantus (OptiSet), inj-vätska, lösning i förfylld p",78050,46234097,Insulin Glargine Pen Injector,Clinical Drug Form
90084,"Sparkal, tablett 5 mg/50 mg",77971,NA,NA,Not Mapped*
537575,"Simidon, Filmdragerad tablett 20 mg",77535,1539411,Simvastatin 20 MG Oral Tablet,Clinical Drug
34788,"Amlodipin Actavis, tablett 5 mg",77466,1332419,Amlodipine 5 MG Oral Tablet,Clinical Drug
23703,"Simvastatin Krka, filmdragerad tablett 40 mg",77095,1539407,Simvastatin 40 MG Oral Tablet,Clinical Drug
55887,"Simvastatin Arrow, filmdragerad tablett 40 mg",76606,1539407,Simvastatin 40 MG Oral Tablet,Clinical Drug
151964,"Omeprazol ratiopharm, enterokapsel, hård 10 mg",76526,923647,Omeprazole 10 MG Delayed Release Oral Capsule,Clinical Drug
5876,"Norvasc, tablett 5 mg Pfizer AB",76318,1332419,Amlodipine 5 MG Oral Tablet,Clinical Drug
16031,"Felodipin Mylan, depottablett 5 mg",75730,1353818,Felodipine 5 MG Extended Release Oral Tablet,Clinical Drug
421180,"Cordarone, tablett 100 mg",75291,1310037,Amiodarone hydrochloride 100 MG Oral Tablet,Clinical Drug
68205,"Seloken, tablett 50 mg",75214,40167218,Metoprolol Tartrate 50 MG Oral Tablet,Clinical Drug
13485,"Ezetrol, tablett 10 mg Merck Sharp & Dohme (Sweden",75198,1526476,ezetimibe 10 MG Oral Tablet,Clinical Drug
597654,"Simidon, Filmdragerad tablett 40 mg",74851,1539407,Simvastatin 40 MG Oral Tablet,Clinical Drug
60905,"Nitromex, resoriblett, sublingual 0,5 mg",74725,1361861,Nitroglycerin 0.5 MG Sublingual Tablet,Clinical Drug
584549,"Omeprazol Pensa, enterokapsel, hård 20 mg",73932,19019418,Omeprazole 20 MG Delayed Release Oral Capsule,Clinical Drug
2749,"Enalapril Sandoz, tablett 10 mg",73411,40165762,Enalapril Maleate 10 MG Oral Tablet,Clinical Drug
49899,"Enalapril Sandoz, tablett 20 mg",73374,40165773,Enalapril Maleate 20 MG Oral Tablet,Clinical Drug
162896,"Simvastatin Bluefish, filmdragerad tablett 40 mg",73267,1539407,Simvastatin 40 MG Oral Tablet,Clinical Drug
117750,"Bisoprolol Sandoz, filmdragerad tablett 1,25 mg",72919,40166187,Bisoprolol Fumarate 1.25 MG Oral Tablet,Clinical Drug
30470,Amlodipin ratiopharm tabl  5mg,72579,1332419,Amlodipine 5 MG Oral Tablet,Clinical Drug
11516,Felodipin Sandoz depottab  5mg,71365,1353818,Felodipine 5 MG Extended Release Oral Tablet,Clinical Drug
59133,"Alfadil, depottablett 4 mg Pfizer AB",71194,1363086,Doxazosin 4 MG Extended Release Oral Tablet,Clinical Drug
664,"Tenormin, filmdragerad tablett 25 mg",70870,19018811,Atenolol 25 MG Oral Tablet,Clinical Drug
73187,"Metformin Sandoz, filmdragerad tablett 500 mg",70848,40164929,Metformin hydrochloride 500 MG Oral Tablet,Clinical Drug
459990,"Persantin Depot, depotkapsel, hård 200 mg Boehring",70821,1331271,Dipyridamole 200 MG Extended Release Oral Capsule,Clinical Drug
35741,"Lanacrist tabl 0,25mg",70502,19018937,Digoxin 0.25 MG Oral Tablet,Clinical Drug
35313,"Metoprolol Teva, depottablett 100 mg",70494,40167200,metoprolol succinate 100 MG Extended Release Oral Tablet,Clinical Drug
35280,"Metoprolol Teva, depottablett 50 mg",70255,40167216,metoprolol succinate 50 MG Extended Release Oral Tablet,Clinical Drug
164716,"Amlodipine Teva, tablett 5 mg",69855,1332419,Amlodipine 5 MG Oral Tablet,Clinical Drug
