source_code,frequency,target_concept_id,target_concept_code,target_concept_name
V4999,6148,45756572,V49,Car occupant injured in other and unspecified transport accidents
W2699,6097,45756279,W26,"Contact with knife, sword or dagger causing accidental injury"
V1999,5413,45756225,V19,Pedal cyclist injured in other and unspecified transport accidents
W0130,5342,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
W1799,5178,45756255,W17,Other fall from one level to another causing accidental injury
W0299,4816,45756244,W02,"Fall involving ice-skates, skis, roller-skates or skateboards causing accidental injury"
W1809,4800,45756256,W18,Other fall on same level causing accidental injury
W3199,4733,45756284,W31,Contact with other and unspecified machinery causing accidental injury
V1849,4236,45756224,V18,Pedal cyclist injured in noncollision transport accident
W5499,4189,45756305,W54,Bitten or struck by dog
Y848,4141,45605063,Y84,"Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
W5599,4033,45756306,W55,Bitten or struck by other mammals
W2599,3990,45756278,W25,Contact with sharp glass causing accidental injury
W1919,3966,45756257,W19,Unspecified fall causing accidental injury
Y835,3909,45552036,Y83,"Surgical operation and other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
W0009,3676,45756242,W00,Fall on same level involving ice and snow causing accidental injury
W2099,3625,45756258,W20,"Struck by thrown, projected or falling object causing accidental injury"
W2799,3540,45756280,W27,Contact with nonpowered hand tool causing accidental injury
W1900,3400,45756257,W19,Unspecified fall causing accidental injury
X2399,3361,45756382,X23,"Contact with hornets, wasps and bees as an external cause of morbidity and mortality"
W0230,3346,45756244,W02,"Fall involving ice-skates, skis, roller-skates or skateboards causing accidental injury"
Y834,3309,45552036,Y83,"Surgical operation and other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
W0181,3283,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
W0189,3279,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
W4599,3217,45756298,W45,Foreign body or object entering through skin causing accidental injury
W1004,3167,45756250,W10,Fall on and from stairs and steps causing accidental injury
W0129,3167,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
Y0799,3163,45595356,Y07,Other maltreatment syndromes
W0114,3148,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
X6409,3124,45756443,X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"
V4399,3099,45756542,V43,"Car occupant injured in collision with car, pick-up truck or van"
W0141,3083,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
W0188,3046,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
W0709,2971,45547041,W07,Fall involving chair causing accidental injury
V2899,2956,45756341,V28,Motorcycle rider injured in noncollision transport accident
W0799,2951,45547041,W07,Fall involving chair causing accidental injury
W5099,2886,45756301,W50,"Hit, struck, kicked, twisted, bitten or scratched by another person"
W4999,2882,45756300,W49,Exposure to other and unspecified inanimate mechanical forces causing accidental injury
Y0499,2872,45756471,Y04,Assault by bodily force
Y850,2828,45755972,Y85,Sequelae of transport accidents
Y881,2683,45755974,Y88,Sequelae with surgical and medical care as external cause
W1109,2656,45756251,W11,Fall on and from ladder causing accidental injury
Y792,2587,45756718,Y79,Orthopedic devices associated with adverse incidents
W0609,2586,45575895,W06,Fall involving bed causing accidental injury
V4359,2544,45756542,V43,"Car occupant injured in collision with car, pick-up truck or van"
W1399,2505,45756253,W13,"Fall from, out of or through building or structure causing accidental injury"
W0191,2358,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
V4899,2337,45756571,V48,Car occupant injured in noncollision transport accident
X5030,2322,45756406,X50,Overexertion and strenuous or repetitive movements as an external cause of morbidity and mortality
Y833,2301,45552036,Y83,"Surgical operation and other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
Y899,2290,45755975,Y89,Sequelae of other external causes
Y658,2235,45756644,Y65,Injury due to other misadventures during surgical and medical care
W2209,2194,45756260,W22,Striking against or struck by other objects causing accidental injury
X4499,2182,45756400,X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"
W0144,2132,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
Y840,2103,45605063,Y84,"Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
W1103,2099,45756251,W11,Fall on and from ladder causing accidental injury
V2999,2086,45756342,V29,Motorcycle rider injured in other and unspecified transport accidents
X4999,2058,45756405,X49,Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances
Y442,2058,45756550,Y44,Adverse effects in the therapeutic use of agents primarily affecting blood constituents
W1001,2039,45756250,W10,Fall on and from stairs and steps causing accidental injury
V0929,2010,45756176,V09,Pedestrian injured in other and unspecified transport accidents
Y699,2001,45605058,Y69,Injury due to unspecified misadventure during surgical and medical care
W0599,1998,45756247,W05,Fall involving wheelchair causing accidental injury
W0041,1960,45756242,W00,Fall on same level involving ice and snow causing accidental injury
W0604,1950,45575895,W06,Fall involving bed causing accidental injury
W0004,1919,45756242,W00,Fall on same level involving ice and snow causing accidental injury
W0044,1912,45756242,W00,Fall on same level involving ice and snow causing accidental injury
Y842,1887,45605063,Y84,"Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
W4400,1834,45756297,W44,Foreign body entering into or through eye or natural orifice causing accidental injury
Y790,1829,45756718,Y79,Orthopedic devices associated with adverse incidents
W0148,1817,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
W1904,1798,45756257,W19,Unspecified fall causing accidental injury
W0699,1791,45575895,W06,Fall involving bed causing accidental injury
X6199,1710,45600199,X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"
W0001,1707,45756242,W00,Fall on same level involving ice and snow causing accidental injury
V8009,1618,45756059,V80,Animal-rider or occupant of animal-drawn vehicle injured in transport accident
W1003,1618,45756250,W10,Fall on and from stairs and steps causing accidental injury
W0190,1603,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
W2200,1595,45756260,W22,Striking against or struck by other objects causing accidental injury
X7899,1582,45756450,X78,Intentional self-harm by sharp object
Y882,1567,45755974,Y88,Sequelae with surgical and medical care as external cause
W1804,1560,45756256,W18,Other fall on same level causing accidental injury
W0399,1500,45756245,W03,"Other fall on same level due to collision with, or pushing by, another person causing accidental injury"
Y849,1486,45605063,Y84,"Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
V2849,1481,45756341,V28,Motorcycle rider injured in noncollision transport accident
V4859,1480,45756571,V48,Car occupant injured in noncollision transport accident
W2199,1436,45756259,W21,Striking against or struck by sports equipment causing accidental injury
V4949,1412,45756572,V49,Car occupant injured in other and unspecified transport accidents
W0899,1396,45756248,W08,Fall involving other furniture causing accidental injury
Y712,1381,45756682,Y71,Cardiovascular devices associated with adverse incidents
W1000,1374,45756250,W10,Fall on and from stairs and steps causing accidental injury
Y959,1356,45595474,Y95,Nosocomial condition
W0231,1347,45756244,W02,"Fall involving ice-skates, skis, roller-skates or skateboards causing accidental injury"
X6400,1342,45756443,X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"
Y605,1329,45756642,Y60,"Injury due to unintentional cut, puncture, perforation or hemorrhage during surgical and medical care"
W5130,1303,45756302,W51,Striking against or bumped into by another person
W0159,1301,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
W0000,1267,45756242,W00,Fall on same level involving ice and snow causing accidental injury
W0194,1254,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
W1901,1251,45756257,W19,Unspecified fall causing accidental injury
X5799,1220,45756410,X57,Unspecified privation as an external cause of morbidity and mortality
W1990,1207,45756257,W19,Unspecified fall causing accidental injury
W0509,1206,45756247,W05,Fall involving wheelchair causing accidental injury
Y609,1180,45756642,Y60,"Injury due to unintentional cut, puncture, perforation or hemorrhage during surgical and medical care"
W0330,1177,45756245,W03,"Other fall on same level due to collision with, or pushing by, another person causing accidental injury"
V1809,1167,45756224,V18,Pedal cyclist injured in noncollision transport accident
Y919,1166,45755977,Y91,Evidence of alcohol involvement determined by level of intoxication
W1929,1166,45756257,W19,Unspecified fall causing accidental injury
W1101,1160,45756251,W11,Fall on and from ladder causing accidental injury
W0704,1157,45547041,W07,Fall involving chair causing accidental injury
W0124,1148,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
W1008,1147,45756250,W10,Fall on and from stairs and steps causing accidental injury
X5009,1105,45756406,X50,Overexertion and strenuous or repetitive movements as an external cause of morbidity and mortality
W0198,1094,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
W1299,1094,45756252,W12,Fall on and from scaffolding causing accidental injury
W1949,1087,45756257,W19,Unspecified fall causing accidental injury
X4409,1078,45756400,X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"
V8099,1060,45756059,V80,Animal-rider or occupant of animal-drawn vehicle injured in transport accident
W5199,1049,45756302,W51,Striking against or bumped into by another person
Y908,1039,45755976,Y90,Evidence of alcohol involvement determined by blood alcohol level
W2362,1029,45756261,W23,"Caught, crushed, jammed or pinched in or between objects causing accidental injury"
W1989,1007,45756257,W19,Unspecified fall causing accidental injury
W1908,1004,45756257,W19,Unspecified fall causing accidental injury
W1903,994,45756257,W19,Unspecified fall causing accidental injury
Y859,993,45755972,Y85,Sequelae of transport accidents
W0703,985,45547041,W07,Fall involving chair causing accidental injury
W2899,970,45756281,W28,Contact with powered lawnmower causing accidental injury
W0048,962,45756242,W00,Fall on same level involving ice and snow causing accidental injury
W3162,959,45756284,W31,Contact with other and unspecified machinery causing accidental injury
W1808,939,45756256,W18,Other fall on same level causing accidental injury
W1309,929,45756253,W13,"Fall from, out of or through building or structure causing accidental injury"
W1800,923,45756256,W18,Other fall on same level causing accidental injury
Y841,907,45605063,Y84,"Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
W0131,901,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
W1709,889,45756255,W17,Other fall from one level to another causing accidental injury
W0003,888,45756242,W00,Fall on same level involving ice and snow causing accidental injury
V4369,877,45756542,V43,"Car occupant injured in collision with car, pick-up truck or van"
V8000,873,45756059,V80,Animal-rider or occupant of animal-drawn vehicle injured in transport accident
W0619,862,45575895,W06,Fall involving bed causing accidental injury
W6409,851,45756312,W64,Exposure to other and unspecified animate mechanical forces
Y606,829,45756642,Y60,"Injury due to unintentional cut, puncture, perforation or hemorrhage during surgical and medical care"
W1930,821,45756257,W19,Unspecified fall causing accidental injury
Y1499,816,45756479,Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"
Y446,802,45756550,Y44,Adverse effects in the therapeutic use of agents primarily affecting blood constituents
W0143,798,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
V0999,796,45756176,V09,Pedestrian injured in other and unspecified transport accidents
W2203,794,45756260,W22,Striking against or struck by other objects causing accidental injury
W0809,791,45756248,W08,Fall involving other furniture causing accidental injury
W9999,791,45756339,W99,Exposure to other and unspecified man-made environmental factors as an external cause of morbidity and mortality
W5799,784,45756308,W57,Bitten or stung by nonvenomous insect and other nonvenomous arthropods
W0089,776,45756242,W00,Fall on same level involving ice and snow causing accidental injury
W1104,771,45756251,W11,Fall on and from ladder causing accidental injury
Y429,770,45756528,Y42,"Adverse effects in the therapeutic use of hormones and their synthetic substitutes and antagonists, not elsewhere classified"
V954,767,45756233,V95,Accident to powered aircraft causing injury to occupant
V0319,763,45756135,V03,"Pedestrian injured in collision with car, pick-up truck or van"
W0121,759,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
V1800,756,45756224,V18,Pedal cyclist injured in noncollision transport accident
V4959,754,45756572,V49,Car occupant injured in other and unspecified transport accidents
X6099,748,45756440,X60,"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"
W0519,748,45756247,W05,Fall involving wheelchair causing accidental injury
V4759,746,45756570,V47,Car occupant injured in collision with fixed or stationary object
V1399,744,45756182,V13,"Pedal cyclist injured in collision with car, pick-up truck or van"
X5909,740,45756412,X59,Exposure to unspecified factor as an external cause of morbidity and mortality
W1849,738,45756256,W18,Other fall on same level causing accidental injury
X6109,733,45600199,X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"
V4799,733,45756570,V47,Car occupant injured in collision with fixed or stationary object
W0118,732,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
W3099,731,45756283,W30,Contact with agricultural machinery causing accidental injury
Y738,731,45756684,Y73,Gastroenterology and urology devices associated with adverse incidents
X1999,726,45756378,X19,Contact with other and unspecified heat and hot substances as an external cause of morbidity and mortality
Y906,720,45755976,Y90,Evidence of alcohol involvement determined by blood alcohol level
W5299,714,45756303,W52,"Crushed, pushed or stepped on by crowd or human stampede"
V1939,708,45756225,V19,Pedal cyclist injured in other and unspecified transport accidents
V4349,699,45756542,V43,"Car occupant injured in collision with car, pick-up truck or van"
Y433,692,45756549,Y43,Adverse effects in the therapeutic use of primarily systemic agents
W1499,692,45571087,W14,Fall from tree causing accidental injury
V0399,691,45756135,V03,"Pedestrian injured in collision with car, pick-up truck or van"
W4404,683,45756297,W44,Foreign body entering into or through eye or natural orifice causing accidental injury
V2349,679,45756266,V23,"Motorcycle rider injured in collision with car, pick-up truck or van"
Y608,679,45756642,Y60,"Injury due to unintentional cut, puncture, perforation or hemorrhage during surgical and medical care"
W0162,674,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
W2909,668,45756282,W29,Contact with other powered hand tools and household machinery causing accidental injury
W2903,667,45756282,W29,Contact with other powered hand tools and household machinery causing accidental injury
W2609,663,45756279,W26,"Contact with knife, sword or dagger causing accidental injury"
W4494,661,45756297,W44,Foreign body entering into or through eye or natural orifice causing accidental injury
W0184,660,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
W0192,659,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
V1349,655,45756182,V13,"Pedal cyclist injured in collision with car, pick-up truck or van"
W1888,651,45756256,W18,Other fall on same level causing accidental injury
W2309,639,45756261,W23,"Caught, crushed, jammed or pinched in or between objects causing accidental injury"
Y575,636,45756618,Y57,Adverse effects in the therapeutic use of other and unspecified drugs and medicaments
V2399,635,45756266,V23,"Motorcycle rider injured in collision with car, pick-up truck or van"
W5999,630,45756310,W59,Bitten or crushed by other reptiles
W0614,630,45575895,W06,Fall involving bed causing accidental injury
X6100,627,45600199,X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"
X5004,622,45756406,X50,Overexertion and strenuous or repetitive movements as an external cause of morbidity and mortality
W0140,620,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
X5900,616,45756412,X59,Exposure to unspecified factor as an external cause of morbidity and mortality
W0999,615,45756249,W09,Fall involving playground equipment causing accidental injury
V9253,611,45756204,V92,Water-transport-related drowning and submersion without accident to watercraft
Y768,610,45756687,Y76,Obstetric and gynecological devices associated with adverse incidents
W1803,609,45756256,W18,Other fall on same level causing accidental injury
W0113,602,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
W5800,601,45756309,W58,Bitten or struck by crocodile or alligator
X0999,599,45756368,X09,"Exposure to unspecified smoke, fire and flames as an external cause of morbidity and mortality"
X5000,598,45756406,X50,Overexertion and strenuous or repetitive movements as an external cause of morbidity and mortality
V4099,593,45756498,V40,Car occupant injured in collision with pedestrian or animal
W0091,593,45756242,W00,Fall on same level involving ice and snow causing accidental injury
W0291,587,45756244,W02,"Fall involving ice-skates, skis, roller-skates or skateboards causing accidental injury"
W1991,587,45756257,W19,Unspecified fall causing accidental injury
V4849,587,45756571,V48,Car occupant injured in noncollision transport accident
W2201,581,45756260,W22,Striking against or struck by other objects causing accidental injury
W2262,581,45756260,W22,Striking against or struck by other objects causing accidental injury
W0088,576,45756242,W00,Fall on same level involving ice and snow causing accidental injury
W0171,575,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
Y400,573,45756526,Y40,Adverse effects in the therapeutic use of systemic antibiotics
W6400,568,45756312,W64,Exposure to other and unspecified animate mechanical forces
X5809,567,45756411,X58,Exposure to other specified factors as an external cause of morbidity and mortality
W0081,567,45756242,W00,Fall on same level involving ice and snow causing accidental injury
W2901,560,45756282,W29,Contact with other powered hand tools and household machinery causing accidental injury
W2603,559,45756279,W26,"Contact with knife, sword or dagger causing accidental injury"
W2962,558,45756282,W29,Contact with other powered hand tools and household machinery causing accidental injury
W7999,554,45756325,W79,Inhalation and ingestion of food causing obstruction of respiratory tract as an external cause of morbidity and mortality
W1788,552,45756255,W17,Other fall from one level to another causing accidental injury
W1819,550,45756256,W18,Other fall on same level causing accidental injury
W6462,548,45756312,W64,Exposure to other and unspecified animate mechanical forces
W1088,548,45756250,W10,Fall on and from stairs and steps causing accidental injury
W1100,548,45756251,W11,Fall on and from ladder causing accidental injury
V8999,545,45756192,V89,"Motor- or nonmotor-vehicle accident, type of vehicle unspecified"
W0128,543,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
W2208,542,45756260,W22,Striking against or struck by other objects causing accidental injury
V8699,542,45756160,V86,"Occupant of special all-terrain or other motor vehicle designed primarily for off-road use, injured in transport accident"
W2062,535,45756258,W20,"Struck by thrown, projected or falling object causing accidental injury"
W1089,532,45756250,W10,Fall on and from stairs and steps causing accidental injury
Y604,530,45756642,Y60,"Injury due to unintentional cut, puncture, perforation or hemorrhage during surgical and medical care"
Y524,522,45756583,Y52,Adverse effects in the therapeutic use of agents primarily affecting the cardiovascular system
W1108,522,45756251,W11,Fall on and from ladder causing accidental injury
V4300,518,45756542,V43,"Car occupant injured in collision with car, pick-up truck or van"
Y578,517,45756618,Y57,Adverse effects in the therapeutic use of other and unspecified drugs and medicaments
W2130,516,45756259,W21,Striking against or struck by sports equipment causing accidental injury
V4969,515,45756572,V49,Car occupant injured in other and unspecified transport accidents
W5509,514,45756306,W55,Bitten or struck by other mammals
V1199,513,45756178,V11,Pedal cyclist injured in collision with other pedal cycle
W0008,510,45756242,W00,Fall on same level involving ice and snow causing accidental injury
V4499,507,45756543,V44,Car occupant injured in collision with heavy transport vehicle or bus
V1841,504,45756224,V18,Pedal cyclist injured in noncollision transport accident
W0504,502,45756247,W05,Fall involving wheelchair causing accidental injury
X7809,500,45756450,X78,Intentional self-harm by sharp object
X1299,499,45756371,X12,Contact with other hot fluids as an external cause of morbidity and mortality
W0151,494,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
X5003,489,45756406,X50,Overexertion and strenuous or repetitive movements as an external cause of morbidity and mortality
W2509,488,45756278,W25,Contact with sharp glass causing accidental injury
W0158,485,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
W2709,485,45756280,W27,Contact with nonpowered hand tool causing accidental injury
W6401,482,45756312,W64,Exposure to other and unspecified animate mechanical forces
W0281,481,45756244,W02,"Fall involving ice-skates, skis, roller-skates or skateboards causing accidental injury"
Y0709,481,45595356,Y07,Other maltreatment syndromes
V4869,478,45756571,V48,Car occupant injured in noncollision transport accident
W0180,476,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
X9999,472,45756467,X99,Assault by sharp object
W0094,470,45756242,W00,Fall on same level involving ice and snow causing accidental injury
V1840,469,45756224,V18,Pedal cyclist injured in noncollision transport accident
W2288,468,45756260,W22,Striking against or struck by other objects causing accidental injury
W0708,468,45547041,W07,Fall involving chair causing accidental injury
W0139,464,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
W0042,463,45756242,W00,Fall on same level involving ice and snow causing accidental injury
W1303,461,45756253,W13,"Fall from, out of or through building or structure causing accidental injury"
Y732,460,45756684,Y73,Gastroenterology and urology devices associated with adverse incidents
W0154,453,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
X1099,452,45756369,X10,"Contact with hot drinks, food, fats and cooking oils as an external cause of morbidity and mortality"
Y907,449,45755976,Y90,Evidence of alcohol involvement determined by blood alcohol level
W6404,440,45756312,W64,Exposure to other and unspecified animate mechanical forces
Y620,437,45552028,Y62,Injury due to failure of sterile precautions during surgical and medical care
W0111,437,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
Y0789,437,45595356,Y07,Other maltreatment syndromes
W2392,436,45756261,W23,"Caught, crushed, jammed or pinched in or between objects causing accidental injury"
W5409,434,45756305,W54,Bitten or struck by dog
W1988,431,45756257,W19,Unspecified fall causing accidental injury
W1262,430,45756252,W12,Fall on and from scaffolding causing accidental injury
W0122,428,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
Y1599,426,45756480,Y15,"Poisoning by and exposure to alcohol, undetermined intent"
Y880,425,45755974,Y88,Sequelae with surgical and medical care as external cause
V8659,425,45756160,V86,"Occupant of special all-terrain or other motor vehicle designed primarily for off-road use, injured in transport accident"
V1949,422,45756225,V19,Pedal cyclist injured in other and unspecified transport accidents
W0701,420,45547041,W07,Fall involving chair causing accidental injury
W0183,419,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
W1059,415,45756250,W10,Fall on and from stairs and steps causing accidental injury
W2204,411,45756260,W22,Striking against or struck by other objects causing accidental injury
W1889,410,45756256,W18,Other fall on same level causing accidental injury
W0043,408,45756242,W00,Fall on same level involving ice and snow causing accidental injury
X3199,405,45756390,X31,Exposure to excessive natural cold as an external cause of morbidity and mortality
W0179,403,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
W1762,403,45756255,W17,Other fall from one level to another causing accidental injury
V9212,401,45756204,V92,Water-transport-related drowning and submersion without accident to watercraft
W0182,400,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
X5090,400,45756406,X50,Overexertion and strenuous or repetitive movements as an external cause of morbidity and mortality
X0499,398,45756364,X04,Exposure to ignition of highly flammable material as an external cause of morbidity and mortality
Y451,397,45756551,Y45,"Adverse effects in the therapeutic use of analgesics, antipyretics and anti-inflammatory drugs"
X6599,396,45756444,X65,Intentional self-poisoning by and exposure to alcohol
V8001,396,45756059,V80,Animal-rider or occupant of animal-drawn vehicle injured in transport accident
V0199,396,45756133,V01,Pedestrian injured in collision with pedal cycle
X8499,393,45585673,X84,Intentional self-harm by unspecified means
W1781,393,45756255,W17,Other fall from one level to another causing accidental injury
W4409,392,45756297,W44,Foreign body entering into or through eye or natural orifice causing accidental injury
W0102,390,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
X5830,390,45756411,X58,Exposure to other specified factors as an external cause of morbidity and mortality
V4990,390,45756572,V49,Car occupant injured in other and unspecified transport accidents
V2800,389,45756341,V28,Motorcycle rider injured in noncollision transport accident
Y409,388,45756526,Y40,Adverse effects in the therapeutic use of systemic antibiotics
Y3400,384,45756517,Y34,"Unspecified event, undetermined intent causing accidental injury"
V9999,382,45585565,V99,Unspecified transport accident
W0110,380,45756243,W01,"Fall on same level from slipping, tripping and stumbling causing accidental injury"
W1162,377,45756251,W11,Fall on and from ladder causing accidental injury
W2703,376,45756280,W27,Contact with nonpowered hand tool causing accidental injury
W2289,375,45756260,W22,Striking against or struck by other objects causing accidental injury
W2604,374,45756279,W26,"Contact with knife, sword or dagger causing accidental injury"
W0629,374,45575895,W06,Fall involving bed causing accidental injury
W0804,373,45756248,W08,Fall involving other furniture causing accidental injury
W1192,369,45756251,W11,Fall on and from ladder causing accidental injury
W0290,366,45756244,W02,"Fall involving ice-skates, skis, roller-skates or skateboards causing accidental injury"
W1998,365,45756257,W19,Unspecified fall causing accidental injury
Y565,365,45756617,Y56,"Adverse effects in the therapeutic use of topical agents primarily affecting skin and mucous membrane and ophthalmological, otorhinolaryngological and dental drugs"
W5000,364,45756301,W50,"Hit, struck, kicked, twisted, bitten or scratched by another person"
W5500,362,45756306,W55,Bitten or struck by other mammals
