source_code,frequency,intermediate_concept_id,intermediate_code,intermediate_name,intermediate_vocabulary,target_concept_id,target_code,target_name,target_vocabulary,domain_id
Z080,202917,45556811,Z08.0,Follow-up examination after surgery for malignant neoplasm,ICD10 code,4327050,7546001,"History and physical examination, follow-up for neoplastic disease",SNOMED,Procedure
I702,178922,45538421,I70.2,Atherosclerosis of arteries of extremities,ICD10 code,43020432,145891000119104,Atherosclerosis of native arteries of the extremities,SNOMED,Condition
C679,175726,45571528,C67.9,"Malignant neoplasm of bladder, unspecified",ICD10 code,197508,399326009,Malignant tumor of urinary bladder,SNOMED,Condition
I350,174467,45576869,I35.0,Aortic (valve) stenosis,ICD10 code,314054,8722008,Aortic valve disorder,SNOMED,Condition
J459,173430,45562456,J45.9,"Asthma, unspecified",ICD10 code,317009,195967001,Asthma,SNOMED,Condition
E780,171277,45542771,E78.0,Pure hypercholesterolemia,ICD10 code,437827,267432004,Pure hypercholesterolemia,SNOMED,Condition
I500,170551,45567179,I50.0,Congestive heart failure,ICD10 code,319835,42343007,Congestive heart failure,SNOMED,Condition
E103,168961,45552380,E10.3,Insulin-dependent diabetes mellitus with ophthalmic complications,ICD10 code,373999,421165007,Diabetic oculopathy associated with type 1 diabetes mellitus,SNOMED,Condition
H250,160548,45576699,H25.0,Senile incipient cataract,ICD10 code,40482507,445213003,Incipient senile cataract,SNOMED,Condition
I251,157576,45596196,I25.1,Atherosclerotic heart disease,ICD10 code,317576,53741008,Coronary arteriosclerosis,SNOMED,Condition
N390,156493,45548665,N39.0,"Urinary tract infection, site not specified",ICD10 code,81902,68566005,Urinary tract infectious disease,SNOMED,Condition
Z940,156286,45566477,,Kidney transplant status,,4059356,,History of renal transplant,SNOMED,
E109,155756,45581351,E10.9,Insulin-dependent diabetes mellitus without complications,ICD10 code,443412,313435000,Type 1 diabetes mellitus without complication,SNOMED,Condition
I200,146209,45586570,I20.0,Unstable angina,ICD10 code,315296,4557003,Preinfarction syndrome,SNOMED,Condition
G473,140872,45562094,G47.3,Sleep apnea,ICD10 code,313459,73430006,Sleep apnea,SNOMED,Condition
J189,140150,45601123,J18.9,"Pneumonia, unspecified",ICD10 code,255848,233604007,Pneumonia,SNOMED,Condition
E117,139768,45561950,E11.7,Non-insulin-dependent diabetes mellitus with multiple complications,ICD10 code,443732,422014003,Disorder due to type 2 diabetes mellitus,SNOMED,Condition
I214,139277,45572081,I21.4,Acute subendocardial myocardial infarction,ICD10 code,444406,70422006,Acute subendocardial infarction,SNOMED,Condition
D649,134191,45600610,D64.9,"Anemia, unspecified",ICD10 code,439777,271737000,Anemia,SNOMED,Condition
K409,130926,45543307,K40.9,"Unilateral or unspecified inguinal hernia, without obstruction or gangrene",ICD10 code,4288544,396232000,Inguinal hernia,SNOMED,Condition
H360A,124538,45591331,H36.0,Diabetic retinopathy,ICD10 code,4174977,4855003,Diabetic retinopathy,SNOMED,Condition
H360,123557,45591331,H36.0,Diabetic retinopathy,ICD10 code,4174977,4855003,Diabetic retinopathy,SNOMED,Condition
Z010,120389,45566391,Z01.0,Examination of eyes and vision,ICD10 code,4263508,36228007,Ophthalmic examination and evaluation,SNOMED,Procedure
Z853,118605,45547353,Z85.3,Personal history of malignant neoplasm of breast,ICD10 code,4214956,417662000,History of clinical finding in subject,SNOMED,Observation
R104X,117452,45568113,R10.4,Other and unspecified abdominal pain,ICD10 code,200219,21522001,Abdominal pain,SNOMED,Condition
E107,116257,45571655,E10.7,Insulin-dependent diabetes mellitus with multiple complications,ICD10 code,435216,420868002,Disorder due to type 1 diabetes mellitus,SNOMED,Condition
R339,115769,45587507,R33,Retention of urine,ICD10 code,192450,267064002,Retention of urine,SNOMED,Condition
H401C,114159,45533312,H40.1,Primary open-angle glaucoma,ICD10 code,435262,77075001,Primary open angle glaucoma,SNOMED,Condition
I269,112239,45552785,I26.9,Pulmonary embolism without mention of acute cor pulmonale,ICD10 code,440417,59282003,Pulmonary embolism,SNOMED,Condition
R559,111980,45568141,R55,Syncope and collapse,ICD10 code,4206148,309585006,Syncope and collapse,SNOMED,Condition
Z952,110957,45542495,,Presence of prosthetic heart valve,,4060089,,H/O: artificial heart valve,SNOMED,
Z450,110885,45595515,Z45.0,Adjustment and management of cardiac pacemaker,ICD10 code,4253750,410617001,Adjustment,SNOMED,Procedure
G459,109250,45542892,G45.9,"Transient cerebral ischemic attack, unspecified",ICD10 code,373503,266257000,Transient cerebral ischemia,SNOMED,Condition
E669,107765,45576460,E66.9,"Obesity, unspecified",ICD10 code,433736,414916001,Obesity,SNOMED,Condition
E118,107063,45561951,E11.8,Non-insulin-dependent diabetes mellitus with unspecified complications,ICD10 code,443732,422014003,Disorder due to type 2 diabetes mellitus,SNOMED,Condition
F329,105405,45571760,F32.9,"Depressive episode, unspecified",ICD10 code,432284,268620009,Single major depressive episode,SNOMED,Condition
S5250,105322,45573842,S52.5,Fracture of lower end of radius,ICD10 code,4134322,263199001,Fracture of distal end of radius,SNOMED,Condition
R319,104988,45553726,,Unspecified hematuria,,437038,,Blood in urine,SNOMED,
Z511,103574,45595526,Z51.1,Chemotherapy session for neoplasm,ICD10 code,4273629,367336001,Chemotherapy,SNOMED,Procedure
Z098,103334,45600303,Z09.8,Follow-up examination after other treatment for other conditions,ICD10 code,4307024,390906007,Follow-up encounter,SNOMED,Observation
G209,103220,45538098,G20,Parkinson's disease,ICD10 code,381270,49049000,Parkinson's disease,SNOMED,Condition
C449E,102340,45590902,C44.9,"Malignant neoplasm of skin, unspecified",ICD10 code,4155297,372130007,Malignant neoplasm of skin,SNOMED,Condition
R060,102229,45558449,R06.0,Dyspnea,ICD10 code,312437,267036007,Dyspnea,SNOMED,Condition
I802,100398,45567230,I80.2,Phlebitis and thrombophlebitis of other deep vessels of lower extremities,ICD10 code,77310,266267005,Deep vein phlebitis and thrombophlebitis of the leg,SNOMED,Condition
H409,98403,45547899,H40.9,"Glaucoma, unspecified",ICD10 code,437541,23986001,Glaucoma,SNOMED,Condition
G409,97920,45562083,G40.9,"Epilepsy, unspecified",ICD10 code,380378,84757009,Epilepsy,SNOMED,Condition
G560,97903,45566891,G56.0,Carpal tunnel syndrome,ICD10 code,380094,57406009,Carpal tunnel syndrome,SNOMED,Condition
K449,97205,45533596,K44.9,Diaphragmatic hernia without obstruction or gangrene,ICD10 code,201061,39839004,Diaphragmatic hernia,SNOMED,Condition
Z018,96583,45581003,Z01.8,Other specified special examinations,ICD10 code,4178367,363680008,Radiographic imaging procedure,SNOMED,Procedure
H264,95804,45600893,H26.4,After-cataract,ICD10 code,435810,47337003,Capsular fibrosis,SNOMED,Condition
M480,95552,45557888,M48.0,Spinal stenosis,ICD10 code,77079,76107001,Spinal stenosis,SNOMED,Condition
F102,95550,45576496,F10.2,"Mental and behavioral disorders due to use of alcohol, dependence syndrome",ICD10 code,435243,66590003,Alcohol dependence,SNOMED,Condition
H400,94779,45567051,H40.0,Glaucoma suspect,ICD10 code,4336011,232079008,Glaucoma suspect,SNOMED,Observation
N180,94001,45582391,N18,Chronic renal failure,ICD10 Hierarchy,198185,90688005,Chronic renal failure,SNOMED,Condition
K573,92237,45567316,K57.3,Diverticular disease of large intestine without perforation or abscess,ICD10 code,4134562,398157006,Diverticular disease of large intestine,SNOMED,Condition
Z094,91203,45561611,Z09.4,Follow-up examination after treatment of fracture,ICD10 code,4307024,390906007,Follow-up encounter,SNOMED,Observation
I219,90468,45605780,I21.9,"Acute myocardial infarction, unspecified",ICD10 code,312327,57054005,Acute myocardial infarction,SNOMED,Condition
Z719,89885,45561648,Z71.9,"Counseling, unspecified",ICD10 code,4254477,409063005,Counseling,SNOMED,Procedure
C900,89838,45600562,C90.0,Multiple myeloma,ICD10 code,437233,109989006,Multiple myeloma,SNOMED,Condition
M796,89135,45587063,M79.6,Pain in limb,ICD10 code,138525,90834002,Pain in limb,SNOMED,Condition
R529,88143,45544151,R52.9,"Pain, unspecified",ICD10 code,4329041,22253000,Pain,SNOMED,Condition
H360B,87700,45591331,H36.0,Diabetic retinopathy,ICD10 code,4174977,4855003,Diabetic retinopathy,SNOMED,Condition
I340,87395,45601031,I34.0,Mitral (valve) insufficiency,ICD10 code,443962,48724000,Mitral valve regurgitation,SNOMED,Condition
H612,85352,45562307,H61.2,Impacted cerumen,ICD10 code,374375,18070006,Impacted cerumen,SNOMED,Condition
R040,82382,45606791,R04.0,Epistaxis,ICD10 code,318556,12441001,Epistaxis,SNOMED,Condition
H251,82290,45581628,H25.1,Senile nuclear cataract,ICD10 code,439297,193589009,Nuclear senile cataract,SNOMED,Condition
M353,82041,45533830,M35.3,Polymyalgia rheumatica,ICD10 code,255348,65323003,Polymyalgia rheumatica,SNOMED,Condition
T814,81106,45575538,T81.4,"Infection following a procedure, not elsewhere classified",ICD10 code,439982,69698001,Infection as complication of medical care,SNOMED,Condition
K802,79998,45552951,K80.2,Calculus of gallbladder without cholecystitis,ICD10 code,196456,235919008,Gallstone,SNOMED,Condition
L829X,79981,45548208,L82,Seborrheic keratosis,ICD10 code,141932,398838000,Seborrheic keratosis,SNOMED,Condition
Z039,79852,45552062,Z03.9,"Observation for suspected disease or condition, unspecified",ICD10 code,4064522,171397002,Medical examination for suspected condition,SNOMED,Procedure
R699,79733,45558480,R69,Unknown and unspecified causes of morbidity,ICD10 code,4192174,39104002,Illness,SNOMED,Condition
C209,79201,45542587,C20,Malignant neoplasm of rectum,ICD10 code,443390,363351006,Malignant tumor of rectum,SNOMED,Condition
C549,77649,45605278,C54.9,"Malignant neoplasm of corpus uteri, unspecified",ICD10 code,4156113,371972005,Malignant neoplasm of body of uterus,SNOMED,Condition
Z953,77360,45605177,,Presence of xenogenic heart valve,,4058429,,H/O: heart valve recipient,SNOMED,
K590,75867,45557663,K59.0,Constipation,ICD10 code,75860,14760008,Constipation,SNOMED,Condition
R519,75222,45558474,R51,Headache,ICD10 code,378253,25064002,Headache,SNOMED,Condition
I694,75209,45591490,I69.4,"Sequelae of stroke, not specified as hemorrhage or infarction",ICD10 code,434056,195239002,Late effects of cerebrovascular disease,SNOMED,Condition
I714,74274,45572130,I71.4,"Abdominal aortic aneurysm, without mention of rupture",ICD10 code,321314,75878002,Abdominal aortic aneurysm without rupture,SNOMED,Condition
M819,73801,45591963,M81.9,"Osteoporosis, unspecified",ICD10 code,80502,64859006,Osteoporosis,SNOMED,Condition
F419,73727,45542849,F41.9,"Anxiety disorder, unspecified",ICD10 code,442077,197480006,Anxiety disorder,SNOMED,Condition
A469,72775,45561706,A46,Erysipelas,ICD10 code,4143956,266005008,Infection due to Erysipelothrix rhusiopathiae,SNOMED,Condition
H903,72111,45576850,H90.3,"Sensorineural hearing loss, bilateral",ICD10 code,4110815,194424005,"Sensorineural hearing loss, bilateral",SNOMED,Condition
Z514,72045,45542437,Z51.4,"Preparatory care for subsequent treatment, not elsewhere classified",ICD10 code,,,,,
C795,71489,45571540,C79.5,Secondary malignant neoplasm of bone and bone marrow,ICD10 code,78097,94222008,Secondary malignant neoplasm of bone,SNOMED,Condition
Z034,71165,45576126,Z03.4,Observation for suspected myocardial infarction,ICD10 code,4062856,171405001,Examination for suspected cardiovascular disease,SNOMED,Procedure
R748,71116,45587524,R74.8,Abnormal levels of other serum enzymes,ICD10 code,4046263,122444009,Enzyme measurement,SNOMED,Measurement
M545,70307,45553207,M54.5,Low back pain,ICD10 code,194133,279039007,Low back pain,SNOMED,Condition
Z014,69552,45542395,Z01.4,Gynecological examination (general) (routine),ICD10 code,4306780,83607001,Gynecologic examination,SNOMED,Procedure
Z038,69270,45585798,Z03.8,Observation for other suspected diseases and conditions,ICD10 code,4064522,171397002,Medical examination for suspected condition,SNOMED,Procedure
I480,69105,45581776,I48.0,Paroxysmal atrial fibrillation,ICD10 code,4154290,282825002,Paroxysmal atrial fibrillation,SNOMED,Condition
N390X,68797,45548665,N39.0,"Urinary tract infection, site not specified",ICD10 code,81902,68566005,Urinary tract infectious disease,SNOMED,Condition
F039,68784,45566772,F03,Unspecified dementia,ICD10 code,4182210,52448006,Dementia,SNOMED,Condition
C787,68117,45595688,C78.7,Secondary malignant neoplasm of liver,ICD10 code,198700,94381002,Secondary malignant neoplasm of liver,SNOMED,Condition
L405,67635,45557703,L40.5,Arthropathic psoriasis,ICD10 code,81931,33339001,Psoriasis with arthropathy,SNOMED,Condition
I420,67102,45586581,I42.0,Dilated cardiomyopathy,ICD10 code,4163710,399020009,Dilated cardiomyopathy,SNOMED,Condition
M549,66092,45538791,M54.9,"Dorsalgia, unspecified",ICD10 code,134736,161891005,Backache,SNOMED,Condition
H041,65965,45600838,H04.1,Other disorders of lacrimal gland,ICD10 code,4318699,95766002,Disorder of lacrimal gland,SNOMED,Condition
L400,65402,45543370,L40.0,Psoriasis vulgaris,ICD10 code,4307925,200975007,Psoriasis vulgaris,SNOMED,Condition
H438B,64743,45533329,H43.8,Other disorders of vitreous body,ICD10 code,317299,76682005,Disorder of vitreous body,SNOMED,Condition
Z711,63357,45542450,Z71.1,Person with feared complaint in whom no diagnosis is made,ICD10 code,4272867,365275006,General well-being finding,SNOMED,Condition
E782,62883,45581383,E78.2,Mixed hyperlipidemia,ICD10 code,438720,267434003,Mixed hyperlipidemia,SNOMED,Condition
C349,61987,45542592,C34.9,"Malignant neoplasm of bronchus or lung, unspecified",ICD10 code,442139,93734005,Primary malignant neoplasm of bronchus,SNOMED,Condition
J159,61611,45557621,J15.9,"Bacterial pneumonia, unspecified",ICD10 code,257315,53084003,Bacterial pneumonia,SNOMED,Condition
I652,61545,45552808,I65.2,Occlusion and stenosis of carotid artery,ICD10 code,313226,266254007,Carotid artery occlusion,SNOMED,Condition
I351,61327,45572087,I35.1,Aortic (valve) insufficiency,ICD10 code,315564,60234000,Aortic valve regurgitation,SNOMED,Condition
Z966F,60808,45600385,Z96.6,Presence of orthopedic joint implants,ICD10 code,4152780,284089007,Presence of orthopedic joint implant,SNOMED,Observation
J441,60779,45601132,J44.1,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",ICD10 code,257004,195951007,Acute exacerbation of chronic obstructive airways disease,SNOMED,Condition
N952,60323,45582430,N95.2,Postmenopausal atrophic vaginitis,ICD10 code,201078,52441000,Atrophic vaginitis,SNOMED,Condition
S4220,60154,45544677,S42.2,Fracture of upper end of humerus,ICD10 code,4133610,127286005,Fracture of upper end of humerus,SNOMED,Condition
S7200,59982,45593656,S72.0,Fracture of neck of femur,ICD10 code,433856,5913000,Fracture of neck of femur,SNOMED,Condition
C443,59927,45585999,C44.3,Malignant neoplasm of skin of other and unspecified parts of face,ICD10 code,4179095,363501002,Malignant tumor of face,SNOMED,Condition
M060,59696,45577103,M06.0,Seronegative rheumatoid arthritis,ICD10 code,4083556,239792003,Seronegative rheumatoid arthritis,SNOMED,Condition
H353B,59673,45543033,H35.3,Degeneration of macula and posterior pole,ICD10 code,4146103,267611002,Degeneration of macula and posterior pole,SNOMED,Condition
M329,58500,45553167,M32.9,"Systemic lupus erythematosus, unspecified",ICD10 code,257628,55464009,Systemic lupus erythematosus,SNOMED,Condition
H401A,58268,45533312,H40.1,Primary open-angle glaucoma,ICD10 code,435262,77075001,Primary open angle glaucoma,SNOMED,Condition
H400A,57896,45567051,H40.0,Glaucoma suspect,ICD10 code,4336011,232079008,Glaucoma suspect,SNOMED,Observation
I839,57641,45552859,I83.9,Varicose veins of lower extremities without ulcer or inflammation,ICD10 code,318169,72866009,Varicose veins of lower extremity,SNOMED,Condition
Z087,57446,45556812,Z08.7,Follow-up examination after combined treatment for malignant neoplasm,ICD10 code,4327050,7546001,"History and physical examination, follow-up for neoplastic disease",SNOMED,Procedure
N200,57412,45567830,N20.0,Calculus of kidney,ICD10 code,201620,95570007,Kidney stone,SNOMED,Condition
H200,57211,45542994,H20.0,Acute and subacute iridocyclitis,ICD10 code,434348,267618008,Acute and subacute iridocyclitis,SNOMED,Condition
F067,57049,45605450,F06.7,Mild cognitive disorder,ICD10 code,4297400,386805003,Mild cognitive disorder,SNOMED,Condition
N811,56797,45558171,N81.1,Cystocele,ICD10 code,198202,252005008,Cystocele,SNOMED,Condition
M544,56779,45553205,M54.4,Lumbago with sciatica,ICD10 code,4001450,202794004,Lumbago with sciatica,SNOMED,Condition
M791,56640,45587062,M79.1,Myalgia,ICD10 code,442752,68962001,Muscle pain,SNOMED,Condition
R002,56196,45558446,R00.2,Palpitations,ICD10 code,315078,80313002,Palpitations,SNOMED,Condition
R139,56188,45573013,R13,Dysphagia,ICD10 code,31317,40739000,Dysphagia,SNOMED,Condition
D509,55215,45605373,D50.9,"Iron deficiency anemia, unspecified",ICD10 code,436659,87522002,Iron deficiency anemia,SNOMED,Condition
N201,54629,45582395,N20.1,Calculus of ureter,ICD10 code,201916,31054009,Ureteric stone,SNOMED,Condition
Z033,53576,45609903,Z03.3,Observation for suspected nervous system disorder,ICD10 code,4064522,171397002,Medical examination for suspected condition,SNOMED,Procedure
Z099,52811,45595482,Z09.9,Follow-up examination after unspecified treatment for other conditions,ICD10 code,4307024,390906007,Follow-up encounter,SNOMED,Observation
H609,52782,45605727,H60.9,"Otitis externa, unspecified",ICD10 code,380731,3135009,Otitis externa,SNOMED,Condition
M720,52404,45543681,M72.0,Palmar fascial fibromatosis [Dupuytren],ICD10 code,4261033,410812005,Dupuytren's disease,SNOMED,Condition
M069,52369,45533705,M06.9,"Rheumatoid arthritis, unspecified",ICD10 code,80809,69896004,Rheumatoid arthritis,SNOMED,Condition
F412,52348,45566845,F41.2,Mixed anxiety and depressive disorder,ICD10 code,4338031,231504006,Mixed anxiety and depressive disorder,SNOMED,Condition
E143,51859,45591036,E14.3,Unspecified diabetes mellitus with ophthalmic complications,ICD10 code,443767,25093002,Diabetic oculopathy,SNOMED,Condition
K210,51807,45543296,K21.0,Gastro-esophageal reflux disease with esophagitis,ICD10 code,30437,266433003,Gastro-esophageal reflux disease with esophagitis,SNOMED,Condition
Z488,51777,45590735,Z48.8,Other specified surgical follow-up care,ICD10 code,4079646,183644000,Surgical follow-up,SNOMED,Observation
M255,51211,45586941,M25.5,Pain in joint,ICD10 code,77074,57676002,Joint pain,SNOMED,Condition
M754,50685,45553266,M75.4,Impingement syndrome of shoulder,ICD10 code,4344500,239960007,Impingement syndrome of shoulder region,SNOMED,Condition
I442,50605,45576872,I44.2,"Atrioventricular block, complete",ICD10 code,320744,27885002,Complete atrioventricular block,SNOMED,Condition
M109,50602,45543454,M10.9,"Gout, unspecified",ICD10 code,440674,90560007,Gout,SNOMED,Condition
D485,50479,45586113,D48.5,Neoplasm of uncertain or unknown behavior of skin,ICD10 code,135777,95087004,Neoplasm of uncertain behavior of skin,SNOMED,Condition
I501,50333,45543181,I50.1,Left ventricular failure,ICD10 code,439846,85232009,Left heart failure,SNOMED,Condition
D459,50211,45595761,D45,Polycythemia vera,ICD10 code,135214,109992005,Polycythemia vera,SNOMED,Condition
K219,50086,45538509,K21.9,Gastro-esophageal reflux disease without esophagitis,ICD10 code,4144111,266435005,Gastroesophageal reflux disease without esophagitis,SNOMED,Condition
K922,49983,45533625,K92.2,"Gastrointestinal hemorrhage, unspecified",ICD10 code,192671,74474003,Gastrointestinal hemorrhage,SNOMED,Condition
C569,49776,45542614,C56,Malignant neoplasm of ovary,ICD10 code,200051,93934004,Primary malignant neoplasm of ovary,SNOMED,Condition
C780,49454,45537839,C78.0,Secondary malignant neoplasm of lung,ICD10 code,254591,94391008,Secondary malignant neoplasm of lung,SNOMED,Condition
M751,49428,45596678,M75.1,Rotator cuff syndrome,ICD10 code,4164922,4106009,Rotator cuff syndrome,SNOMED,Condition
K519,48946,45605941,K51.9,"Ulcerative colitis, unspecified",ICD10 code,81893,64766004,Ulcerative colitis,SNOMED,Condition
I739B,48898,45552846,I73.9,"Peripheral vascular disease, unspecified",ICD10 code,321052,400047006,Peripheral vascular disease,SNOMED,Condition
B182,48657,45590846,B18.2,Chronic viral hepatitis C,ICD10 code,198964,128302006,Chronic hepatitis C,SNOMED,Condition
I120,48579,45596187,I12.0,Hypertensive renal disease with renal failure,ICD10 code,439697,194774006,Hypertensive renal disease with renal failure,SNOMED,Condition
Z509,48509,45595525,Z50.9,"Care involving use of rehabilitation procedure, unspecified",ICD10 code,4180248,52052004,Rehabilitation therapy,SNOMED,Procedure
I633,48395,45562366,I63.3,Cerebral infarction due to thrombosis of cerebral arteries,ICD10 code,4110192,195189003,Cerebral infarction due to thrombosis of cerebral arteries,SNOMED,Condition
D259,48316,45542693,D25.9,"Leiomyoma of uterus, unspecified",ICD10 code,197236,95315005,Uterine leiomyoma,SNOMED,Condition
M653,47980,45538828,M65.3,Trigger finger,ICD10 code,77965,1539003,Acquired trigger finger,SNOMED,Condition
C911,47831,45600564,C91.1,Chronic lymphocytic leukemia,ICD10 code,4180093,51092000,Chronic lymphocytic leukemia,SNOMED,Observation
I849,47518,45586644,I84,Hemorrhoids,ICD10 Hierarchy,195562,70153002,Hemorrhoids,SNOMED,Condition
N951,47368,45548683,N95.1,Menopausal and female climacteric states,ICD10 code,439082,123756000,Menopausal syndrome,SNOMED,Condition
G359,47319,45571794,G35,Multiple sclerosis,ICD10 code,374919,24700007,Multiple sclerosis,SNOMED,Condition
T810,46984,45599741,T81.0,"Hemorrhage and hematoma complicating a procedure, not elsewhere classified",ICD10 code,435141,40470007,Hemorrhage AND/OR hematoma complicating procedure,SNOMED,Condition
E668,46511,45533036,E66.8,Other obesity,ICD10 code,433736,414916001,Obesity,SNOMED,Condition
H431,45293,45543053,H43.1,Vitreous hemorrhage,ICD10 code,315276,31341008,Vitreous hemorrhage,SNOMED,Condition
I482,44509,45591467,I48.2,Chronic atrial fibrillation,ICD10 code,4141360,426749004,Chronic atrial fibrillation,SNOMED,Condition
K297,44463,45591583,K29.7,"Gastritis, unspecified",ICD10 code,201340,4556007,Gastritis,SNOMED,Condition
L309X,44320,45572271,L30.9,"Dermatitis, unspecified",ICD10 code,,,,,
K509,44212,45562490,K50.9,"Crohn's disease, unspecified",ICD10 code,201606,34000006,Crohn's disease,SNOMED,Condition
M201,44110,45606152,M20.1,Hallux valgus (acquired),ICD10 code,75911,65358001,Acquired hallux valgus,SNOMED,Condition
T840F,44052,45570736,T84.0,Mechanical complication of internal joint prosthesis,ICD10 code,80269,213104001,Mechanical complication of internal joint prosthesis,SNOMED,Condition
H348B,43873,45547863,H34.8,Other retinal vascular occlusions,ICD10 code,440392,73757007,Retinal vascular occlusion,SNOMED,Condition
