source_code,source_description
AAF40,Anläggande av shunt mellan intrakraniell cysta och peritoneum
AAF45,Fenestrering av intrakraniell cysta
AAF99,Annan shuntoperation på hjärnventrikel eller intrakraniell cysta
AAG00,Stereotaktisk intrakraniell biopsi
AAG10,Stereotaktisk intrakraniell destruktion av nukleos eller nervbana
AAG20,Stereotaktiskt intrakraniellt inläggande av elektroder (i)
AAG30,Stereotaktisk intrakraniell implantation av strålkälla
AAG40,Stereotaktisk intrakraniell implantation av fosternervceller eller autologa celler
AAG50,Stereotaktisk intrakraniell strålbehandling
AAG99,Annan stereotaktisk intrakraniell operation
AAH10,Rizotomi av kranialnerv
AAH20,Dekompression av kranialnerv
AAH30,Termolesion av kranialnerv
AAH40,Injektion i kranialnerv
AAH50,Anastomos av kranialnerv
AAH60,Mikrovaskulär dekompression av kranialnerv
AAH70,Nervtransplantation till kranialnerv
AAH80,Transferering av kranialnerv
AAH99,Annan operation på kranialnerv
AAJ00,Hemisfärektomi vid epilepsi
AAJ10,Lobektomi vid epilepsi
AAJ15,Hippokampektomi vid epilepsi
AAJ20,Resektion av epileptiskt fokus
AAJ25,Avskärning av nervbanor vid epilepsi
AAJ30,Kallosotomi vid epilepsi
AAJ35,Hemidekortikation vid epilepsi
AAJ99,Annan operation vid epilepsi
AAK00,Kranioplastik
AAK10,Duraplastik
AAK20,Operationer p.g.a. kraniosynostos
AAK30,Kraniofacial rekonstruktion vid missbildning
AAK40,Ocklusion av likvorfistel
AAK50,Reposition och osteosyntes vid skallfraktur
AAK60,Resektion av skallbenstumör med rekonstruktion
AAK70,Biopsi av skallben
AAK75,Resektion av förändring i skallben
AAK80,Partiell ektomi av skalltaket
AAK85,Replantation av tidigare uttagen del av skalltak
AAK99,Annan operation på kranium eller dura
AAL00,Endovaskulär ocklusion p.g.a. intrakraniellt aneurysm
AAL10,Intrakraniell endovaskulär trombolys
AAL20,Endovaskulär ocklusion p.g.a. intrakraniell A-V missbildning
AAL30,Endovaskulär ocklusion av intrakraniell fistel
AAL40,Endovaskulär ocklusion p.g.a. intrakraniell tumör
AAL99,Annan endovaskulär intrakraniell operation
AAM00,Punktion och tömning av intrakraniell abscess
AAM10,Exstirpation av intrakraniell abscess
AAM30,Utrymning av epiduralt eller subduralt empyem
AAM99,Annan operation vid intrakraniell infektion
AAN00,Exstirpation och plastik av encefalocele
AAN99,Annan operation vid intrakraniell kongenital missbildning
AAP00,Lokal muskeltransposition vid facialispares
AAP10,Crossfaciell nervtransplantation vid facialispares
AAP20,Mikrovaskulär muskelförflyttning vid facialispares
AAP99,Annan rekonstruktiv operation vid facialispares
AAU00,Avlägsnande av implantat eller externt fixationsmaterial från skallen
AAW01,Inläggande av intrakraniell stimuleringsutrustning
AAW02,Inläggande av intrakraniell injektionsport
AAW99,Annan operation på kraniet eller intrakraniell struktur
ABA00,Explorativ laminektomi
ABA10,Biopsi av patologisk förändring i spinalkanal
ABA20,Intratekal endoskopi
ABA30,Epiduroskopi
ABA99,Annan diagnostisk operation på ryggmärg eller nervrötter
ABB00,Exstirpation av förändring i spinalkanalen
ABB02,Exstirpation av förändring i nervrot
ABB04,Destruktion av förändring i nervrot
ABB06,Perkutan destruktion av förändring i nervrot
ABB10,Resektion av förändring i spinalkanalen
ABB20,Dränage av cysta i spinalkanalen
ABB30,Destruktion av förändring i spinalkanalen
ABB40,Utrymning av spontant hematom i spinalkanalen
ABB99,Annan operation för patologisk förändring i ryggmärgen eller nervrötter
ABC01,Perkutan endoskopisk diskektomi i halsryggraden
ABC04,Perkutan endoskopisk diskektomi i bröstryggraden
ABC07,Perkutan endoskopisk diskektomi i ländryggraden
ABC10,Mikrokirurgisk diskektomi i halsryggraden
ABC13,Mikrokirurgisk diskektomi i bröstryggraden
ABC16,Mikrokirurgisk diskektomi i ländryggraden
ABC20,Öppen diskektomi i halsryggraden
ABC21,Främre dekompression i halsryggraden med inläggande av främre fixationsimplantat
ABC23,Öppen diskektomi i bröstryggraden
ABC26,Öppen diskektomi i ländryggraden
ABC28,Inläggande av expanderande implantat mellan spinalutskotten
ABC30,Dekompression av nervrötter i halsryggraden
ABC33,Dekompression av nervrötter i bröstryggraden
ABC36,Dekompression av nervrötter i ländryggraden
ABC40,Dekompression av cauda equina i sakrum
ABC50,Dekompression av ryggmärgen och nervrötter i halsryggraden
ABC53,Dekompression av ryggmärgen och nervrötter i bröstryggraden
ABC56,Dekompression av ryggmärgen och nervrötter vid degenerativa förändringar i ländryggraden
ABC60,Dekompression av ryggmärgen i halsryggraden
ABC63,Dekompression av ryggmärgen i bröstryggraden
ABC66,Dekompression av ryggmärgen i ländryggraden
ABC99,Annan dekompressiv operation av ryggmärgen eller nervrötter
ABD10,Öppen kordotomi
ABD15,Perkutan kordotomi
ABD20,Myelotomi
ABD30,Inläggande av spinal stimuleringsutrustning
ABD40,Inläggande av spinal injektionsport
ABD50,Avskärning av spinal nervrot p.g.a. smärta eller funktionell störning
ABD60,Implantation av spinal nervelektrod PNE 1
ABD65,Implantation av spinal nervstimuleringsutrustning PNE 2
ABD99,Annan operation på ryggmärgen eller nervrötter p.g.a. smärta och funktionell störning
ABE10,Exstirpation och plastik av myelo- eller meningocele
ABE20,Lösning av fjättrad ryggmärg eller diastematomyeli
ABE30,Exstirpation av dermal sinus
ABE40,Operation för hydromyeli
ABE50,Occipitocervikal dekompression
ABE99,Annan operation p.g.a. spinal missbildning
ABW99,Annan operation på ryggmärgen eller nervrötter
ACA11,Exploration av n. medianus
ACA12,Exploration av n. radialis
ACA13,Exploration av n. ulnaris
ACA14,Exploration av n. peroneus
ACA15,Exploration av n. tibialis
ACA16,Exploration av n. ischiadicus
ACA17,Exploration av plexus lumbalis
ACA18,Exploration av plexus brachialis
ACA19,Exploration av annan eller ospecificerad perifer nerv (i)
ACA21,Biopsi av n. medianus
ACA22,Biopsi av n. radialis
ACA23,Biopsi av n. ulnaris
ACA24,Biopsi av n. peroneus
ACA25,Biopsi av n. tibialis
ACA26,Biopsi av n. ischiadicus
ACA27,Biopsi av plexus lumbalis
ACA28,Biopsi av plexus brachialis
ACA29,Biopsi av annan eller ospecificerad perifer nerv
ACA91,Annan diagnostisk operation på n. medianus
ACA92,Annan diagnostisk operation på n. radialis
ACA93,Annan diagnostisk operation på n. ulnaris
ACA94,Annan diagnostisk operation på n. peroneus
ACA95,Annan diagnostisk operation på n. tibialis
ACA96,Annan diagnostisk operation på n. ischiadicus
ACA97,Annan diagnostisk operation på plexus lumbalis
ACA98,Annan diagnostisk operation på plexus brachialis
ACA99,Annan diagnostisk operation på annan eller ospecificerad perifer nerv
ACB11,Exstirpation av patologisk förändring från n. medianus
ACB12,Exstirpation av patologisk förändring från n. radialis
ACB13,Exstirpation av patologisk förändring från n. ulnaris
ACB14,Exstirpation av patologisk förändring från n. peroneus
ACB15,Exstirpation av patologisk förändring från n. tibialis
ACB16,Exstirpation av patologisk förändring från n. ischiadicus
ACB17,Exstirpation av patologisk förändring från plexus lumbalis
ACB18,Exstirpation av patologisk förändring från plexus brachialis
ACB19,Exstirpation av patologisk förändring från annan eller ospecificerad perifer nerv
ACB21,Sutur av n. medianus
ACB22,Sutur av n. radialis
ACB23,Sutur av n. ulnaris
ACB24,Sutur av n. peroneus
ACB25,Sutur av n. tibialis
ACB26,Sutur av n. ischiadicus
ACB27,Sutur av plexus lumbalis
ACB28,Sutur av plexus brachialis
ACB29,Sutur av annan eller ospecificerad perifer nerv
ACB91,Annan operation p.g.a. patologisk förändring eller skada på n. medianus
ACB92,Annan operation p.g.a. patologisk förändring eller skada på n. radialis
ACB93,Annan operation p.g.a. patologisk förändring eller skada på n. ulnaris
ACB94,Annan operation p.g.a. patologisk förändring eller skada på n. peroneus
ACB95,Annan operation p.g.a. patologisk förändring eller skada på n. tibialis
ACB96,Annan operation p.g.a. patologisk förändring eller skada på n. ischiadicus
ACB97,Annan operation p.g.a. patologisk förändring eller skada på plexus lumbalis
ACB98,Annan operation p.g.a. patologisk förändring eller skada på plexus brachialis
ACB99,Annan operation p.g.a. patologisk förändring eller skada på annan eller ospecificerad perifer nerv
ACC11,Genomskärning av n. medianus
ACC12,Genomskärning av n. radialis
ACC13,Genomskärning av n. ulnaris
ACC14,Genomskärning av n. peroneus
ACC15,Genomskärning av n. tibialis
ACC16,Genomskärning av n. ischiadicus
ACC17,Genomskärning av n. plexus lumbalis
ACC18,Genomskärning av n. plexus brachialis
ACC19,Genomskärning av annan eller ospecificerad perifer nerv
ACC21,Rekonstruktion av n. medianus
ACC22,Rekonstruktion av n. radialis
ACC23,Rekonstruktion av n. ulnaris
ACC24,Rekonstruktion av n. peroneus
ACC25,Rekonstruktion av n. tibialis
ACC26,Rekonstruktion av n. ischiadicus
ACC27,Rekonstruktion av plexus lumbalis
ACC28,Rekonstruktion av plexus brachialis
ACC29,Rekonstruktion av annan eller ospecificerad perifer nerv
ACC41,Transposition av n. medianus
ACC42,Transposition av n. radialis
ACC43,Transposition av n. ulnaris
ACC44,Transposition av n. peroneus
ACC45,Transposition av n. tibialis
ACC46,Transposition av n. ischiadicus
ACC47,Transposition av plexus lumbalis
ACC48,Transposition av plexus brachialis
ACC49,Transposition av annan eller ospecificerad perifer nerv
ACC51,Dekompression av n. medianus
ACC52,Dekompression av n. radialis
ACC53,Dekompression av n. ulnaris
ACC54,Dekompression av n. peroneus
ACC55,Dekompression av n. tibialis
ACC56,Dekompression av n. ischiadicus
ACC57,Dekompression av plexus lumbalis
ACC58,Dekompression av plexus brachialis
ACC59,Dekompression av annan eller ospecificerad perifer nerv
ACC91,Annan operation på n. medianus p.g.a. funktionell rubbning
ACC92,Annan operation på n. radialis p.g.a. funktionell rubbning
ACC93,Annan operation på n. ulnaris p.g.a. funktionell rubbning
ACC94,Annan operation på n. peroneus p.g.a. funktionell rubbning
ACC95,Annan operation på n. tibialis p.g.a. funktionell rubbning
ACC96,Annan operation på n. ischiadicus p.g.a. funktionell rubbning
ACC97,Annan operation på plexus lumbalis p.g.a. funktionell rubbning
ACC98,Annan operation på plexus brachialis p.g.a. funktionell rubbning
ACC99,Annan operation på annan eller ospecificerad perifer nerv p.g.a. funktionell rubbning
ACW99,Annan operation på perifer nerv
ADA10,Cervikal sympatektomi
ADA20,Torakal sympatektomi
ADA21,Torakoskopisk sympatektomi
ADA30,Lumbal sympatektomi
ADA31,Laparoskopisk sympatektomi
ADA40,Perkutan transluminal ablation av sympatiska njurnerver (i)
ADA99,Annan operation på sympatiska nervsystemet
ADB00,Inläggande av vagusnervsstimuleringsutrustning
ADW99,Annan operation på autonoma nervsystemet
AEA00,Byte av impulsgenerator i stimuleringsutrustning i nervsystemet
AEA20,Borttagande av impulsgenerator i stimuleringsutrustning i nervsystemet
AEA23,Borttagande av intrakraniell elektrod
AEA24,Borttagande av spinal stimuleringselektrod
AEA25,Borttagande av stimuleringselektrod
AEA27,Byte av spinal stimuleringselektrod
AEA30,Byte av inopererad pump i injektionsutrustning i nervsystemet
AEA40,Borttagande av inopererad pump i injektionsutrustning i nervsystemet
AEA43,Borttagande av kateter i intrakraniell injektionsutrustning
AEA44,Borttagande av kateter i spinal injektionsutrustning
AWA00,Reoperation för sårruptur
AWB00,Reoperation för ytlig infektion
AWC00,Reoperation för djup infektion
AWD00,Reoperation för ytlig blödning
AWE00,Reoperation för djup blödning
AWW99,Annan reoperation på nervsystemet
BAA00,Biopsi av sköldkörteln
BAA05,Exploration av sköldkörteln
BAA10,Incision i sköldkörteln
BAA20,Unilateral resektion av sköldkörteln
BAA25,Bilateral resektion av sköldkörteln
BAA30,Istmusresektion av sköldkörteln
BAA40,Unilateral lobektomi av sköldkörteln
BAA50,Lobektomi och resektion av kontralateral lob på sköldkörteln
BAA60,Tyreoidektomi
BAA99,Annan operation på sköldkörteln
BBA10,Biopsi av bisköldkörtel
BBA20,Exploration av bisköldkörtel
BBA30,Exstirpation av bisköldkörtel
BBA40,Subtotal paratyreoidektomi
BBA50,Total paratyreoidektomi
BBA70,Implantation eller transplantation av bisköldkörtel
BBA99,Annan operation på bisköldkörtel
BCA10,Biopsi av binjure
BCA11,Laparoskopisk biopsi av binjure
BCA15,Incision i binjure
BCA20,Resektion av binjure
BCA30,Unilateral adrenalektomi
BCA31,"Laparoskopisk adrenalektomi, unilateral"
BCA40,Bilateral adrenalektomi
BCA41,"Laparoskopisk adrenalektomi, bilateral"
BCA99,Annan operation på binjure
BDA10,Operation på glomus caroticum
BWA00,Reoperation för sårruptur
BWB00,Reoperation för ytlig infektion
BWC00,Reoperation för djup infektion
BWD00,Reoperation för ytlig blödning
BWE00,Reoperation för djup blödning
BWW99,Annan reoperation på endokrina organ
CAA00,Punktion av orbitaabscess
CAA10,Explorativ främre orbitotomi
CAA20,Explorativ lateral orbitotomi
CAA30,Biopsi av orbita
CAB00,Främre orbitotomi med exstirpation
CAB10,Lateral orbitotomi med exstirpation
CAB40,Exstirpation via transkraniell orbitotomi
CAB50,Orbitotomi med avlägsnande av främmande kropp
CAC00,Rekonstruktion av orbitas benvägg
CAC10,Rekonstruktion av orbitas benvägg med ben- eller hudtransplantat
CAC20,Dekompressiv lateral orbitotomi
CAC30,Dekompressiv orbitotomi till bihålor
CAC40,Transkraniell dekompression av orbitatak eller optikuskanal
CAC42,Dekompression av orbita via koronalt angreppssätt
CAC44,Kombinerad dekompression av orbita
CAC50,Korrektion av medfödd missbildning av orbitas benvägg
CAD00,"Exenteration av orbita, täckning med transplantat eller lambå"
CAE00,Avlägsnande av implantat i orbita
CAE10,Revision och sekundärt inläggande av implantat i orbita
CAE20,Revision av konjunktivalhålan med transplantat
CAW99,Annan operation på orbita
CBA00,Incision i ögonlock
CBA10,Biopsi av ögonlock
CBB00,Excision eller exkokleation av kalazion
CBB10,"Excision av hud, operation för dermatokalasis"
CBB15,Resektion av fettprolaps
CBB20,Resektion av hud och fettprolaps
CBB30,Exstirpation av tumör eller lokal förändring i ögonlock
CBB32,Destruktion av lokal förändring i ögonlock (i)
CBB50,"Exstirpation av tumör eller lokal förändring i ögonlock, rekonstruktion med transplantat eller lambå"
CBB99,Annat avlägsnande av tumör eller lokal förändring i ögonlock
CBC00,Sutur av ögonlock
CBC10,Avlägsnande av främmande kropp i ögonlock (i)
CBC99,Annan operation vid skada på ögonlock
CBD00,Rekonstruktion av ögonlock med primärsutur
CBD10,Rekonstruktion av ögonlock med transplantat eller lambå
CBD11,Öppning av lambå efter ögonlocksrekonstruktion
CBD99,Annan rekonstruktion av ögonlock
CBG00,Elektrolysepilation av cilier
CBG10,Kryobehandling för trikiasis
CBG20,Rekonstruktion av ögonlockskanten vid trikiasis
CBG99,Annan operation för trikiasis
CBH00,Kantotomi
CBH05,Kantopexi
CBH10,"Rekonstruktion av kantus, eventuellt med transplantation"
CBH25,Tarsorafi (i)
CBH40,Uppklippning av tarsorafi
CBH50,Rekonstruktiv operation för epikantus
CBH99,Annan operation på kantus eller ögonlockskant
CBJ00,Lyftning av ögonlock med suturslynga
CBJ10,Korrektion av ögonlocksptos med slynga (i)
CBJ20,Tarsomyektomi på ögonlock
CBJ30,Rekonstruktion av levatormuskelaponeuros
CBJ40,Resektion av levatormuskel
CBJ45,Stramning av övre tarsalmuskel (i)
CBJ50,Operation för ögonbrynsptos (i)
CBJ99,Annan operation för ptos
CBK00,Korrektion av ögonlocksretraktion (i)
CBK10,Operation för lagoftalmus
CBK99,Annan operation för lagoftalmus eller ögonlocksretraktion
CBL00,Myektomi eller neurotomi vid blefarospasm
CBL99,Annan operation vid blefarospasm
CBN00,Eversionssutur av ögonlock
CBN10,Flyttning och stramning av orbicularis oculi
CBN20,Stramning av ögonlocksretraktorer
CBN30,Stramning av canthalligament
CBN40,Excision av tarsus
CBN50,Excision av tarsus och hud
CBN60,Excision av ögonlocksärr och plastikrekonstruktion (i)
CBN99,Annan ögonlocksoperation p.g.a. felställning
CBW99,Annan operation på ögonlock
CCA00,Incision i tårkörtel
CCA10,Biopsi av tårkörtel
CCA20,Incision i tårpunkt eller tårkanalikel
CCA30,Incision i tårsäck
CCA40,Biopsi av tårkanal
CCB00,Resektion av tårkörtel
CCB10,Exstirpation av tårkörtel
CCB99,Annan operation på tårkörtel
CCC00,Slutning av tårpunkt eller tårkanalikel
CCC50,Exstirpation av tårsäck
CCC99,Annan operation på tårkanal
CCD00,Exstirpation och slutning av tårfistel
CCD10,Sutur av tårkanalikel
CCD20,Sutur av tårkanalikel med intubation
CCD30,Rekonstruktion av tårkanalikel
CCD40,Perkutan dakryocystorinostomi
CCD50,Dakryocystorinostomi med inläggande av rör
CCD60,Transnasal dakryocystorinostomi
CCD70,Konjunktivocystorinostomi med inläggande av rör
CCD99,Annan rekonstruktiv operation på tårvägar
CCW99,Annan operation på tårvägar
CDB00,Avlägsnande av intraokulär främmande kropp
CDB10,Avlägsnande av intraokulär främmande kropp med magnet
CDB99,Annan operation vid intraokulär främmande kropp
CDC00,Enukleation av ögat
CDC10,Enukleation av ögat med implantation av protes i Tenons kapsel
CDC20,Enukleation av ögat med implantat i Tenons kapsel
CDC30,Evisceration av ögat
CDC40,Evisceration av ögat med implantation av protes
CDC50,Evisceration av ögat med vävnadsimplantat
CDW99,Annan operation på bulben som helhet
CEA00,Biopsi av ögonmuskel
CEB00,Myektomi av ögonmuskel
CEB10,Partiell myotomi av ögonmuskel
CEB20,Total myotomi av ögonmuskel
CEB30,Tenotomi av ögonmuskel
CEC00,Tillbakaläggning av ögonmuskel
CEC10,Tillbakaläggning och resektion av ögonmuskel
CEC20,Tillbakaläggning och framläggning av ögonmuskel
CEC30,Resektion av ögonmuskel
CEC40,Resektion och framläggning av ögonmuskel
CEC50,Framläggning av ögonmuskel
CEC60,Flyttning av ögonmuskel med justerbar sutur
CEC70,Flyttning av ögonmuskel p.g.a. nystagmus
CEC80,Partiell flyttning av ögonmuskel
CEC85,Kombinerad korrigering av cyklodeviation (i)
CEC90,Total transposition av ögonmuskel
CED00,Veckning av ögonmuskel
CEE00,Bakre fixationssutur i ögonmuskel (i)
CEE10,Fixering av ögonmuskel med ankarsutur
CEF00,Lösning av fastlödd ögonmuskel
CEF10,Sutur av skadad ögonmuskel
CEW99,Annan operation på ögonmuskel
CFA00,Incision i bindehinna
CFA10,Peritomi av bindehinna
CFA20,Biopsi av bindehinna
CFB00,Sutur av sår i bindehinna
CFB10,Avlägsnande av främmande kropp i bindehinna
CFC00,Exstirpation av tumör i bindehinna
CFC15,Destruktion av förändring i bindehinna (i)
CFC30,Exstirpation av trakomfolliklar
CFD00,Rekonstruktion av bindehinnan utan transplantat
CFD10,Rekonstruktion av bindehinnan med transplantat (i)
CFW99,Annan operation på bindehinna
CGA00,Biopsi av hornhinna
CGA10,Biopsi av sklera
CGB00,Keratotomi
CGB10,Sklerotomi
CGC10,Avlägsnande av främmande kropp i hornhinna
CGC20,Avlägsnande av främmande kropp i hornhinna med magnet
CGC30,Avlägsnande av främmande kropp i sklera
CGC40,Avlägsnande av främmande kropp i sklera med magnet
CGD00,Keratotomi för refraktionsanomali
CGD10,Laserbehandling för refraktionsanomali
CGD15,Termokeratoplastik (i)
CGD20,Keratomileuse
CGD40,Implantation av intrakorneala inlägg
CGD99,Annan operation för refraktionsanomali
CGE05,Destruktion av förändring i hornhinna (i)
CGE10,Excision av hornhinna
CGE30,Excision av sklera
CGE32,Destruktion av förändring i sklera (i)
CGE45,Täckning av hornhinna med limbal stamcellstransplantat (i)
CGE50,Excision av pterygium
CGE55,Excision av pterygium med konjunktival transplantation
CGE99,Annan operation för vävnadsförändringar i hornhinna eller sklera
CGF00,Limning av sår i hornhinna
CGF10,Sutur av sår i hornhinna
CGF20,Sutur av sår i hornhinna med täckning av bindehinna
CGF25,Sutur av sår i hornhinna med avlägsnande av prolaberad uveavävnad
CGF30,Täckning av hornhinna med konjunktiva
CGF35,Täckning av hornhinna med transplantat (i)
CGF40,Limning av sår i sklera
CGF45,Sutur av sår i sklera
CGF50,Sutur av sår i sklera med rekonstruktion av bindehinna
CGF55,Sutur av sår i sklera med avlägsnande av prolaberad uveavävnad
CGF99,Annan operation vid perforerande sår i hornhinna eller sklera
CGG00,Tatuering av hornhinna
CGG10,Korrektion av keratokonus med termokauterisering
CGG20,"Epikeratofaki, keratofaki"
CGG30,Främre lamellär hornhinnetransplantation
CGG31,Bakre lamellär hornhinnetransplantation
CGG35,Transplantation av hornhinneendotel
CGG40,Genomgripande hornhinnetransplantation med autograft
CGG45,Genomgripande hornhinnetransplantation med homograft
CGG50,Implantation av keratoprotes
CGG60,Förstärkning av sklera med transplantat
CGG99,Annan rekonstruktiv operation på hornhinna eller sklera
CGW99,Annan operation på hornhinna eller sklera
CHA10,Biopsi av iris
CHA20,Biopsi av ciliarkroppen
CHB00,Fotoruptur av synekier
CHB10,Kammarpunktion med sköljning
CHB15,Kammarpunktion med ersättning av kammarvätska
CHB20,Goniopunktur (i)
CHB30,Goniotomi
CHB40,Lösning av goniosynekier
CHB50,Trabekulotomi
CHB60,Lösning av främre synekier
CHB65,Lösning av bakre synekier
CHB99,Annan operation i främre kammare eller kammarvinkel
CHC00,Iridotomi
CHC05,Laseriridotomi (i)
CHC10,Basal iridektomi
CHC20,Sektoriridektomi
CHC30,Central iridektomi
CHD00,Lasertrabekuloplastik
CHD05,Selektiv lasertrabekuloplastik
CHD10,Trabekulektomi
CHD15,Trabekulektomi med iridektomi
CHD20,Trepanation av sklera
CHD25,Trepanation av sklera med iridektomi
CHD28,Bakre sklerotomi
CHD30,Lasertrabekulektomi
CHD40,Iridenkleisis
CHD50,Implantation av kateter till främre kammare
CHD60,Djup sklerektomi utan implantat
CHD65,Djup sklerektomi med implantat
CHD99,Annan filtrationsoperation
CHE00,Öppning av pupill
CHE05,Öppning av pupill med laser
CHE10,Excision av tumör eller förändring i iris
CHE20,Laserbehandling av tumör eller förändring i iris
CHE30,Sutur av iris
CHE35,Reparation av irisdefekt med protesimplantat
CHE99,Annan operation för tumör eller lokal förändring i iris
CHF0,Exstirpation av tumör i ciliarkropp
CHF5,Transskleral fotokoagulation av ciliarkropp
CHF10,Transpupillär fotokoagulation av ciliarkropp
CHF12,Endoskopisk fotokoagulation av ciliarkropp
CHF15,Kryoterapi av ciliarkropp
CHF20,Elektrokoagulation av ciliarkropp
CHF30,Cyklodialys
CHF99,Annan operation på ciliarkropp
CHW99,"Annan operation i främre kammare, kammarvinkel, på regnbågshinna eller strålkropp"
CJA00,Implantation av intraokulär kontaktlins i främre kammare
CJA10,Implantation av intraokulär kontaktlins i bakre kammare
CJB00,Discission av sekundär katarakt eller membran
CJB10,Laserdiscission av sekundär katarakt eller membran
CJB20,Evakuering och polering av sekundär katarakt
CJB30,Excision av sekundär katarakt
CJB40,Främre laserkapsulotomi (i)
CJB99,Annan operation vid sekundär katarakt
CJC00,Intrakapsulär kataraktextraktion
CJC05,Intrakapsulär kataraktextraktion med iridektomi eller iridotomi
CJC10,Intrakapsulär kataraktextraktion med implantation av linsprotes i främre kammare
CJC15,Intrakapsulär kataraktextraktion med iridektomi eller iridotomi och implantation av linsprotes i främre kammare
CJC20,Intrakapsulär kataraktextraktion med implantation av linsprotes i bakre kammare
CJC25,Intrakapsulär kataraktextraktion med iridektomi eller iridotomi och implantation av linsprotes i bakre kammare
CJC99,Annan intrakapsulär kataraktoperation
CJD00,Extrakapsulär kataraktextraktion
CJD05,Extrakapsulär kataraktextraktion med iridektomi eller iridotomi
CJD10,Extrakapsulär kataraktextraktion med implantation av linsprotes i främre kammare
CJD15,Extrakapsulär kataraktextraktion med iridektomi eller iridotomi och implantation av linsprotes i främre kammare
CJD20,Extrakapsulär kataraktextraktion med implantation av linsprotes i bakre kammare
CJD25,Extrakapsulär kataraktextraktion med iridektomi eller iridotomi och implantation av linsprotes i bakre kammare
CJD30,Kataraktextraktion eller linsextraktion via pars plana
CJD99,Annan extrakapsulär kataraktoperation
CJE00,Fakoemulsifikation
CJE05,Fakoemulsifikation med iridektomi eller iridotomi
CJE10,Fakoemulsifikation med implantation av linsprotes i främre kammare
CJE15,Fakoemulsifikation med iridektomi eller iridotomi och implantation av linsprotes i främre kammare
CJE20,Fakoemulsifikation med implantation av linsprotes i bakre kammare
CJE25,Fakoemulsifikation med iridektomi eller iridotomi och implantation av linsprotes i bakre kammare
CJE99,Annan extrakapsulär kataraktoperation med fakoemulsifikation
CJF00,Sekundär implantation av linsprotes i främre kammare
CJF10,Sekundär implantation av linsprotes i bakre kammare
CJF20,Extraktion av linsprotes
CJF30,Reposition av linsprotes
CJF40,Utbyte av linsprotes i främre kammare
CJF45,Utbyte av linsprotes i främre kammare med iridektomi eller iridotomi
CJF50,Utbyte av linsprotes i bakre kammare
CJF55,Utbyte av linsprotes i bakre kammare med iridektomi eller iridotomi
CJF99,Annan operation med linsprotes
CJG00,Extraktion av luxerad lins
CJG05,Extraktion av luxerad lins med iridektomi eller iridotomi
CJG10,Extraktion av luxerad lins med implantation av linsprotes i främre kammare
CJG15,Extraktion av luxerad lins med iridektomi eller iridotomi och implantation av linsprotes i främre kammare
CJG20,Extraktion av luxerad lins med implantation av linsprotes i bakre kammare
CJG25,Extraktion av luxerad lins med iridektomi eller iridotomi och implantation av linsprotes i bakre kammare
CJG99,Annan operation vid luxerad lins
CJW99,Annan operation på lins
CKA00,Biopsi av åderhinna
CKA10,Biopsi av glaskropp
CKA20,Biopsi av näthinna
CKB00,Punktion och tömning av suprakorioidal vätska
CKB10,Punktion och tömning av suprakorioidal vätska och injektion av glaskroppssubstitut
CKB99,Annan operation vid korioidalavlossning
CKC00,Fotoruptur i glaskropp
CKC12,Fotokoagulation av näthinna
