source_code,intermediate_code,intermediate_concept_id,intermediate_name,intermediate_vocabulary,target_concept_id,target_name,target_vocabulary
L570,L57.0,45591640,Actinic keratosis,ICD10,138825,Actinic keratosis,SNOMED
I489A,I48.9,45755409,"Atrial fibrillation and atrial flutter, unspecified",ICD10,4108832,Atrial fibrillation and flutter,SNOMED
I208,I20.8,45543166,Other forms of angina pectoris,ICD10,321318,Angina pectoris,SNOMED
E039,E03.9,45537945,"Hypothyroidism, unspecified",ICD10,140673,Hypothyroidism,SNOMED
E113,E11.3,45591028,Non-insulin-dependent diabetes mellitus with ophthalmic complications,ICD10,443733,Diabetic oculopathy associated with type 2 diabetes mellitus,SNOMED
R429,R42,45568132,Dizziness and giddiness,ICD10,433316,Dizziness and giddiness,SNOMED
I693,I69.3,45533476,Sequelae of cerebral infarction,ICD10,4112026,Sequelae of cerebral infarction,SNOMED
I639,I63.9,45596216,"Cerebral infarction, unspecified",ICD10,443454,Cerebral infarction,SNOMED
Z080,Z08.0,45556811,Follow-up examination after surgery for malignant neoplasm,ICD10,4327050,"History and physical examination, follow-up for neoplastic disease",SNOMED
I702,I70.2,45538421,Atherosclerosis of arteries of extremities,ICD10,43020432,Atherosclerosis of native arteries of the extremities,SNOMED
C679,C67.9,45571528,"Malignant neoplasm of bladder, unspecified",ICD10,197508,Malignant tumor of urinary bladder,SNOMED
I350,I35.0,45576869,Aortic (valve) stenosis,ICD10,314054,Aortic valve disorder,SNOMED
J459,J45.9,45562456,"Asthma, unspecified",ICD10,317009,Asthma,SNOMED
E780,E78.0,45542771,Pure hypercholesterolemia,ICD10,437827,Pure hypercholesterolemia,SNOMED
I500,I50.0,45567179,Congestive heart failure,ICD10,319835,Congestive heart failure,SNOMED
E103,E10.3,45552380,Insulin-dependent diabetes mellitus with ophthalmic complications,ICD10,373999,Diabetic oculopathy associated with type 1 diabetes mellitus,SNOMED
H250,H25.0,45576699,Senile incipient cataract,ICD10,40482507,Incipient senile cataract,SNOMED
I251,I25.1,45596196,Atherosclerotic heart disease,ICD10,317576,Coronary arteriosclerosis,SNOMED
N390,N39.0,45548665,"Urinary tract infection, site not specified",ICD10,81902,Urinary tract infectious disease,SNOMED
Z940,,45566477,Kidney transplant status,,4059356,History of renal transplant,SNOMED
E109,E10.9,45581351,Insulin-dependent diabetes mellitus without complications,ICD10,443412,Type 1 diabetes mellitus without complication,SNOMED
I200,I20.0,45586570,Unstable angina,ICD10,315296,Preinfarction syndrome,SNOMED
G473,G47.3,45562094,Sleep apnea,ICD10,313459,Sleep apnea,SNOMED
J189,J18.9,45601123,"Pneumonia, unspecified",ICD10,255848,Pneumonia,SNOMED
E117,E11.7,45561950,Non-insulin-dependent diabetes mellitus with multiple complications,ICD10,443732,Disorder due to type 2 diabetes mellitus,SNOMED
I214,I21.4,45572081,Acute subendocardial myocardial infarction,ICD10,444406,Acute subendocardial infarction,SNOMED
D649,D64.9,45600610,"Anemia, unspecified",ICD10,439777,Anemia,SNOMED
K409,K40.9,45543307,"Unilateral or unspecified inguinal hernia, without obstruction or gangrene",ICD10,4288544,Inguinal hernia,SNOMED
H360A,H36.0,45591331,Diabetic retinopathy,ICD10,4174977,Diabetic retinopathy,SNOMED
H360,H36.0,45591331,Diabetic retinopathy,ICD10,4174977,Diabetic retinopathy,SNOMED
Z010,Z01.0,45566391,Examination of eyes and vision,ICD10,4263508,Ophthalmic examination and evaluation,SNOMED
Z853,Z85.3,45547353,Personal history of malignant neoplasm of breast,ICD10,4214956,History of clinical finding in subject,SNOMED
R104X,R10.4,45568113,Other and unspecified abdominal pain,ICD10,200219,Abdominal pain,SNOMED
E107,E10.7,45571655,Insulin-dependent diabetes mellitus with multiple complications,ICD10,435216,Disorder due to type 1 diabetes mellitus,SNOMED
R339,R33,45587507,Retention of urine,ICD10,192450,Retention of urine,SNOMED
H401C,H40.1,45533312,Primary open-angle glaucoma,ICD10,435262,Primary open angle glaucoma,SNOMED
I269,I26.9,45552785,Pulmonary embolism without mention of acute cor pulmonale,ICD10,440417,Pulmonary embolism,SNOMED
R559,R55,45568141,Syncope and collapse,ICD10,4206148,Syncope and collapse,SNOMED
Z952,,45542495,Presence of prosthetic heart valve,,4060089,H/O: artificial heart valve,SNOMED
Z450,Z45.0,45595515,Adjustment and management of cardiac pacemaker,ICD10,4253750,Adjustment,SNOMED
G459,G45.9,45542892,"Transient cerebral ischemic attack, unspecified",ICD10,373503,Transient cerebral ischemia,SNOMED
E669,E66.9,45576460,"Obesity, unspecified",ICD10,433736,Obesity,SNOMED
E118,E11.8,45561951,Non-insulin-dependent diabetes mellitus with unspecified complications,ICD10,443732,Disorder due to type 2 diabetes mellitus,SNOMED
F329,F32.9,45571760,"Depressive episode, unspecified",ICD10,432284,Single major depressive episode,SNOMED
S5250,S52.5,45573842,Fracture of lower end of radius,ICD10,4134322,Fracture of distal end of radius,SNOMED
R319,,45553726,Unspecified hematuria,,437038,Blood in urine,SNOMED
Z511,Z51.1,45595526,Chemotherapy session for neoplasm,ICD10,4273629,Chemotherapy,SNOMED
Z098,Z09.8,45600303,Follow-up examination after other treatment for other conditions,ICD10,4307024,Follow-up encounter,SNOMED
G209,G20,45538098,Parkinson's disease,ICD10,381270,Parkinson's disease,SNOMED
C449E,C44.9,45590902,"Malignant neoplasm of skin, unspecified",ICD10,4155297,Malignant neoplasm of skin,SNOMED
R060,R06.0,45558449,Dyspnea,ICD10,312437,Dyspnea,SNOMED
I802,I80.2,45567230,Phlebitis and thrombophlebitis of other deep vessels of lower extremities,ICD10,77310,Deep vein phlebitis and thrombophlebitis of the leg,SNOMED
H409,H40.9,45547899,"Glaucoma, unspecified",ICD10,437541,Glaucoma,SNOMED
G409,G40.9,45562083,"Epilepsy, unspecified",ICD10,380378,Epilepsy,SNOMED
G560,G56.0,45566891,Carpal tunnel syndrome,ICD10,380094,Carpal tunnel syndrome,SNOMED
K449,K44.9,45533596,Diaphragmatic hernia without obstruction or gangrene,ICD10,201061,Diaphragmatic hernia,SNOMED
Z018,Z01.8,45581003,Other specified special examinations,ICD10,4178367,Radiographic imaging procedure,SNOMED
H264,H26.4,45600893,After-cataract,ICD10,435810,Capsular fibrosis,SNOMED
M480,M48.0,45557888,Spinal stenosis,ICD10,77079,Spinal stenosis,SNOMED
F102,F10.2,45576496,"Mental and behavioral disorders due to use of alcohol, dependence syndrome",ICD10,435243,Alcohol dependence,SNOMED
H400,H40.0,45567051,Glaucoma suspect,ICD10,4336011,Glaucoma suspect,SNOMED
N180,N18,45582391,Chronic renal failure,ICD10 Hierarchy,198185,Chronic renal failure,SNOMED
K573,K57.3,45567316,Diverticular disease of large intestine without perforation or abscess,ICD10,4134562,Diverticular disease of large intestine,SNOMED
Z094,Z09.4,45561611,Follow-up examination after treatment of fracture,ICD10,4307024,Follow-up encounter,SNOMED
I219,I21.9,45605780,"Acute myocardial infarction, unspecified",ICD10,312327,Acute myocardial infarction,SNOMED
Z719,Z71.9,45561648,"Counseling, unspecified",ICD10,4254477,Counseling,SNOMED
C900,C90.0,45600562,Multiple myeloma,ICD10,437233,Multiple myeloma,SNOMED
M796,M79.6,45587063,Pain in limb,ICD10,138525,Pain in limb,SNOMED
R529,R52.9,45544151,"Pain, unspecified",ICD10,4329041,Pain,SNOMED
H360B,H36.0,45591331,Diabetic retinopathy,ICD10,4174977,Diabetic retinopathy,SNOMED
I340,I34.0,45601031,Mitral (valve) insufficiency,ICD10,443962,Mitral valve regurgitation,SNOMED
H612,H61.2,45562307,Impacted cerumen,ICD10,374375,Impacted cerumen,SNOMED
R040,R04.0,45606791,Epistaxis,ICD10,318556,Epistaxis,SNOMED
H251,H25.1,45581628,Senile nuclear cataract,ICD10,439297,Nuclear senile cataract,SNOMED
M353,M35.3,45533830,Polymyalgia rheumatica,ICD10,255348,Polymyalgia rheumatica,SNOMED
T814,T81.4,45575538,"Infection following a procedure, not elsewhere classified",ICD10,439982,Infection as complication of medical care,SNOMED
652WW,,,,,,,
K802,K80.2,45552951,Calculus of gallbladder without cholecystitis,ICD10,196456,Gallstone,SNOMED
L829X,L82,45548208,Seborrheic keratosis,ICD10,141932,Seborrheic keratosis,SNOMED
Z039,Z03.9,45552062,"Observation for suspected disease or condition, unspecified",ICD10,4064522,Medical examination for suspected condition,SNOMED
R699,R69,45558480,Unknown and unspecified causes of morbidity,ICD10,4192174,Illness,SNOMED
C209,C20,45542587,Malignant neoplasm of rectum,ICD10,443390,Malignant tumor of rectum,SNOMED
C549,C54.9,45605278,"Malignant neoplasm of corpus uteri, unspecified",ICD10,4156113,Malignant neoplasm of body of uterus,SNOMED
Z953,,45605177,Presence of xenogenic heart valve,,4058429,H/O: heart valve recipient,SNOMED
K590,K59.0,45557663,Constipation,ICD10,75860,Constipation,SNOMED
R519,R51,45558474,Headache,ICD10,378253,Headache,SNOMED
I694,I69.4,45591490,"Sequelae of stroke, not specified as hemorrhage or infarction",ICD10,434056,Late effects of cerebrovascular disease,SNOMED
I714,I71.4,45572130,"Abdominal aortic aneurysm, without mention of rupture",ICD10,321314,Abdominal aortic aneurysm without rupture,SNOMED
M819,M81.9,45591963,"Osteoporosis, unspecified",ICD10,80502,Osteoporosis,SNOMED
F419,F41.9,45542849,"Anxiety disorder, unspecified",ICD10,442077,Anxiety disorder,SNOMED
A469,A46,45561706,Erysipelas,ICD10,4143956,Infection due to Erysipelothrix rhusiopathiae,SNOMED
H903,H90.3,45576850,"Sensorineural hearing loss, bilateral",ICD10,4110815,"Sensorineural hearing loss, bilateral",SNOMED
Z514,Z51.4,45542437,"Preparatory care for subsequent treatment, not elsewhere classified",ICD10,,,
C795,C79.5,45571540,Secondary malignant neoplasm of bone and bone marrow,ICD10,78097,Secondary malignant neoplasm of bone,SNOMED
Z034,Z03.4,45576126,Observation for suspected myocardial infarction,ICD10,4062856,Examination for suspected cardiovascular disease,SNOMED
R748,R74.8,45587524,Abnormal levels of other serum enzymes,ICD10,4046263,Enzyme measurement,SNOMED
M545,M54.5,45553207,Low back pain,ICD10,194133,Low back pain,SNOMED
Z014,Z01.4,45542395,Gynecological examination (general) (routine),ICD10,4306780,Gynecologic examination,SNOMED
Z038,Z03.8,45585798,Observation for other suspected diseases and conditions,ICD10,4064522,Medical examination for suspected condition,SNOMED
I480,I48.0,45581776,Paroxysmal atrial fibrillation,ICD10,4154290,Paroxysmal atrial fibrillation,SNOMED
N390X,N39.0,45548665,"Urinary tract infection, site not specified",ICD10,81902,Urinary tract infectious disease,SNOMED
F039,F03,45566772,Unspecified dementia,ICD10,4182210,Dementia,SNOMED
C787,C78.7,45595688,Secondary malignant neoplasm of liver,ICD10,198700,Secondary malignant neoplasm of liver,SNOMED
L405,L40.5,45557703,Arthropathic psoriasis,ICD10,81931,Psoriasis with arthropathy,SNOMED
I420,I42.0,45586581,Dilated cardiomyopathy,ICD10,4163710,Dilated cardiomyopathy,SNOMED
M549,M54.9,45538791,"Dorsalgia, unspecified",ICD10,134736,Backache,SNOMED
H041,H04.1,45600838,Other disorders of lacrimal gland,ICD10,4318699,Disorder of lacrimal gland,SNOMED
L400,L40.0,45543370,Psoriasis vulgaris,ICD10,4307925,Psoriasis vulgaris,SNOMED
H438B,H43.8,45533329,Other disorders of vitreous body,ICD10,317299,Disorder of vitreous body,SNOMED
Z711,Z71.1,45542450,Person with feared complaint in whom no diagnosis is made,ICD10,4272867,General well-being finding,SNOMED
E782,E78.2,45581383,Mixed hyperlipidemia,ICD10,438720,Mixed hyperlipidemia,SNOMED
C349,C34.9,45542592,"Malignant neoplasm of bronchus or lung, unspecified",ICD10,442139,Primary malignant neoplasm of bronchus,SNOMED
J159,J15.9,45557621,"Bacterial pneumonia, unspecified",ICD10,257315,Bacterial pneumonia,SNOMED
I652,I65.2,45552808,Occlusion and stenosis of carotid artery,ICD10,313226,Carotid artery occlusion,SNOMED
I351,I35.1,45572087,Aortic (valve) insufficiency,ICD10,315564,Aortic valve regurgitation,SNOMED
Z966F,Z96.6,45600385,Presence of orthopedic joint implants,ICD10,4152780,Presence of orthopedic joint implant,SNOMED
J441,J44.1,45601132,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",ICD10,257004,Acute exacerbation of chronic obstructive airways disease,SNOMED
N952,N95.2,45582430,Postmenopausal atrophic vaginitis,ICD10,201078,Atrophic vaginitis,SNOMED
S4220,S42.2,45544677,Fracture of upper end of humerus,ICD10,4133610,Fracture of upper end of humerus,SNOMED
S7200,S72.0,45593656,Fracture of neck of femur,ICD10,433856,Fracture of neck of femur,SNOMED
C443,C44.3,45585999,Malignant neoplasm of skin of other and unspecified parts of face,ICD10,4179095,Malignant tumor of face,SNOMED
M060,M06.0,45577103,Seronegative rheumatoid arthritis,ICD10,4083556,Seronegative rheumatoid arthritis,SNOMED
H353B,H35.3,45543033,Degeneration of macula and posterior pole,ICD10,4146103,Degeneration of macula and posterior pole,SNOMED
M329,M32.9,45553167,"Systemic lupus erythematosus, unspecified",ICD10,257628,Systemic lupus erythematosus,SNOMED
H401A,H40.1,45533312,Primary open-angle glaucoma,ICD10,435262,Primary open angle glaucoma,SNOMED
H400A,H40.0,45567051,Glaucoma suspect,ICD10,4336011,Glaucoma suspect,SNOMED
I839,I83.9,45552859,Varicose veins of lower extremities without ulcer or inflammation,ICD10,318169,Varicose veins of lower extremity,SNOMED
Z087,Z08.7,45556812,Follow-up examination after combined treatment for malignant neoplasm,ICD10,4327050,"History and physical examination, follow-up for neoplastic disease",SNOMED
N200,N20.0,45567830,Calculus of kidney,ICD10,201620,Kidney stone,SNOMED
H200,H20.0,45542994,Acute and subacute iridocyclitis,ICD10,434348,Acute and subacute iridocyclitis,SNOMED
F067,F06.7,45605450,Mild cognitive disorder,ICD10,4297400,Mild cognitive disorder,SNOMED
N811,N81.1,45558171,Cystocele,ICD10,198202,Cystocele,SNOMED
M544,M54.4,45553205,Lumbago with sciatica,ICD10,4001450,Lumbago with sciatica,SNOMED
M791,M79.1,45587062,Myalgia,ICD10,442752,Muscle pain,SNOMED
R002,R00.2,45558446,Palpitations,ICD10,315078,Palpitations,SNOMED
R139,R13,45573013,Dysphagia,ICD10,31317,Dysphagia,SNOMED
D509,D50.9,45605373,"Iron deficiency anemia, unspecified",ICD10,436659,Iron deficiency anemia,SNOMED
N201,N20.1,45582395,Calculus of ureter,ICD10,201916,Ureteric stone,SNOMED
Z033,Z03.3,45609903,Observation for suspected nervous system disorder,ICD10,4064522,Medical examination for suspected condition,SNOMED
Z099,Z09.9,45595482,Follow-up examination after unspecified treatment for other conditions,ICD10,4307024,Follow-up encounter,SNOMED
H609,H60.9,45605727,"Otitis externa, unspecified",ICD10,380731,Otitis externa,SNOMED
M720,M72.0,45543681,Palmar fascial fibromatosis [Dupuytren],ICD10,4261033,Dupuytren's disease,SNOMED
M069,M06.9,45533705,"Rheumatoid arthritis, unspecified",ICD10,80809,Rheumatoid arthritis,SNOMED
F412,F41.2,45566845,Mixed anxiety and depressive disorder,ICD10,4338031,Mixed anxiety and depressive disorder,SNOMED
E143,E14.3,45591036,Unspecified diabetes mellitus with ophthalmic complications,ICD10,443767,Diabetic oculopathy,SNOMED
K210,K21.0,45543296,Gastro-esophageal reflux disease with esophagitis,ICD10,30437,Gastro-esophageal reflux disease with esophagitis,SNOMED
Z488,Z48.8,45590735,Other specified surgical follow-up care,ICD10,4079646,Surgical follow-up,SNOMED
M255,M25.5,45586941,Pain in joint,ICD10,77074,Joint pain,SNOMED
M754,M75.4,45553266,Impingement syndrome of shoulder,ICD10,4344500,Impingement syndrome of shoulder region,SNOMED
I442,I44.2,45576872,"Atrioventricular block, complete",ICD10,320744,Complete atrioventricular block,SNOMED
M109,M10.9,45543454,"Gout, unspecified",ICD10,440674,Gout,SNOMED
D485,D48.5,45586113,Neoplasm of uncertain or unknown behavior of skin,ICD10,135777,Neoplasm of uncertain behavior of skin,SNOMED
I501,I50.1,45543181,Left ventricular failure,ICD10,439846,Left heart failure,SNOMED
D459,D45,45595761,Polycythemia vera,ICD10,135214,Polycythemia vera,SNOMED
K219,K21.9,45538509,Gastro-esophageal reflux disease without esophagitis,ICD10,4144111,Gastroesophageal reflux disease without esophagitis,SNOMED
K922,K92.2,45533625,"Gastrointestinal hemorrhage, unspecified",ICD10,192671,Gastrointestinal hemorrhage,SNOMED
C569,C56,45542614,Malignant neoplasm of ovary,ICD10,200051,Primary malignant neoplasm of ovary,SNOMED
C780,C78.0,45537839,Secondary malignant neoplasm of lung,ICD10,254591,Secondary malignant neoplasm of lung,SNOMED
M751,M75.1,45596678,Rotator cuff syndrome,ICD10,4164922,Rotator cuff syndrome,SNOMED
K519,K51.9,45605941,"Ulcerative colitis, unspecified",ICD10,81893,Ulcerative colitis,SNOMED
I739B,I73.9,45552846,"Peripheral vascular disease, unspecified",ICD10,321052,Peripheral vascular disease,SNOMED
B182,B18.2,45590846,Chronic viral hepatitis C,ICD10,198964,Chronic hepatitis C,SNOMED
I120,I12.0,45596187,Hypertensive renal disease with renal failure,ICD10,439697,Hypertensive renal disease with renal failure,SNOMED
Z509,Z50.9,45595525,"Care involving use of rehabilitation procedure, unspecified",ICD10,4180248,Rehabilitation therapy,SNOMED
I633,I63.3,45562366,Cerebral infarction due to thrombosis of cerebral arteries,ICD10,4110192,Cerebral infarction due to thrombosis of cerebral arteries,SNOMED
D259,D25.9,45542693,"Leiomyoma of uterus, unspecified",ICD10,197236,Uterine leiomyoma,SNOMED
M653,M65.3,45538828,Trigger finger,ICD10,77965,Acquired trigger finger,SNOMED
C911,C91.1,45600564,Chronic lymphocytic leukemia,ICD10,4180093,Chronic lymphocytic leukemia,SNOMED
I849,I84,45586644,Hemorrhoids,ICD10 Hierarchy,195562,Hemorrhoids,SNOMED
N951,N95.1,45548683,Menopausal and female climacteric states,ICD10,439082,Menopausal syndrome,SNOMED
G359,G35,45571794,Multiple sclerosis,ICD10,374919,Multiple sclerosis,SNOMED
T810,T81.0,45599741,"Hemorrhage and hematoma complicating a procedure, not elsewhere classified",ICD10,435141,Hemorrhage AND/OR hematoma complicating procedure,SNOMED
E668,E66.8,45533036,Other obesity,ICD10,433736,Obesity,SNOMED
H431,H43.1,45543053,Vitreous hemorrhage,ICD10,315276,Vitreous hemorrhage,SNOMED
I482,I48.2,45591467,Chronic atrial fibrillation,ICD10,4141360,Chronic atrial fibrillation,SNOMED
K297,K29.7,45591583,"Gastritis, unspecified",ICD10,201340,Gastritis,SNOMED
L309X,L30.9,45572271,"Dermatitis, unspecified",ICD10,,,
K509,K50.9,45562490,"Crohn's disease, unspecified",ICD10,201606,Crohn's disease,SNOMED
M201,M20.1,45606152,Hallux valgus (acquired),ICD10,75911,Acquired hallux valgus,SNOMED
T840F,T84.0,45570736,Mechanical complication of internal joint prosthesis,ICD10,80269,Mechanical complication of internal joint prosthesis,SNOMED
H348B,H34.8,45547863,Other retinal vascular occlusions,ICD10,440392,Retinal vascular occlusion,SNOMED
M796G,M79.6,45587063,Pain in limb,ICD10,138525,Pain in limb,SNOMED
N832,N83.2,45539066,Other and unspecified ovarian cysts,ICD10,197610,Cyst of ovary,SNOMED
H931,H93.1,45543152,Tinnitus,ICD10,377575,Tinnitus,SNOMED
L979,L97,45591659,"Ulcer of lower limb, not elsewhere classified",ICD10,197304,Ulcer of lower extremity,SNOMED
N394,N39.4,45577525,Other specified urinary incontinence,ICD10,197672,Urinary incontinence,SNOMED
E112,E11.2,45605400,Non-insulin-dependent diabetes mellitus with renal complications,ICD10,443731,Renal disorder due to type 2 diabetes mellitus,SNOMED
N184,N18.4,45582393,"Chronic kidney disease, stage 4",ICD10,443612,Chronic kidney disease stage 4,SNOMED
Z867,Z86.7,45576199,Personal history of diseases of the circulatory system,ICD10,4214956,History of clinical finding in subject,SNOMED
I739,I73.9,45552846,"Peripheral vascular disease, unspecified",ICD10,321052,Peripheral vascular disease,SNOMED
S7210,S72.1,45574361,Pertrochanteric fracture,ICD10,4015503,Pertrochanteric fracture,SNOMED
Z508,Z50.8,45556842,Care involving use of other rehabilitation procedures,ICD10,4026998,Prosthetic rehabilitation,SNOMED
J069,J06.9,45562437,"Acute upper respiratory infection, unspecified",ICD10,257011,Acute upper respiratory infection,SNOMED
R919,,45548995,Abnormal findings on diagnostic imaging of lung,,437677,Abnormal findings on diagnostic imaging of lung,SNOMED
I119,I11.9,45576863,Hypertensive heart disease without (congestive) heart failure,ICD10,319034,Hypertensive heart disease without congestive heart failure,SNOMED
E115,E11.5,45557114,Non-insulin-dependent diabetes mellitus with peripheral circulatory complications,ICD10,443729,Peripheral circulatory disorder associated with type 2 diabetes mellitus,SNOMED
I634,I63.4,45591475,Cerebral infarction due to embolism of cerebral arteries,ICD10,4108356,Cerebral infarction due to embolism of cerebral arteries,SNOMED
Z966G,Z96.6,45600385,Presence of orthopedic joint implants,ICD10,4152780,Presence of orthopedic joint implant,SNOMED
R539,R53,45553741,Malaise and fatigue,ICD10,439926,Malaise and fatigue,SNOMED
Z518,Z51.8,45590737,Other specified medical care,ICD10,4021166,Care regime,SNOMED
N109,N10,45543856,Acute tubulo-interstitial nephritis,ICD10,4102631,Acute interstitial nephritis,SNOMED
C833,,45600549,Large cell (diffuse) non-Hodgkin's lymphoma,,432574,"Diffuse non-Hodgkin's lymphoma, large cell",SNOMED
I495,I49.5,45562354,Sick sinus syndrome,ICD10,4261842,Sick sinus syndrome,SNOMED
J909,J90,45605897,"Pleural effusion, not elsewhere classified",ICD10,254061,Pleural effusion,SNOMED
I211,I21.1,45586571,Acute transmural myocardial infarction of inferior wall,ICD10,438170,Acute myocardial infarction of inferior wall,SNOMED
R398,R39.8,45548962,Other and unspecified symptoms and signs involving the urinary system,ICD10,4021780,Lower urinary tract finding,SNOMED
M170,M17.0,45562648,"Primary gonarthrosis, bilateral",ICD10,4114585,"Primary gonarthrosis, bilateral",SNOMED
H905,H90.5,45547994,"Sensorineural hearing loss, unspecified",ICD10,374366,Sensorineural hearing loss,SNOMED
I210,I21.0,45591454,Acute transmural myocardial infarction of anterior wall,ICD10,434376,Acute myocardial infarction of anterior wall,SNOMED
S8260,S82.6,45569819,Fracture of lateral malleolus,ICD10,4085552,Fracture of lateral malleolus,SNOMED
H348,H34.8,45547863,Other retinal vascular occlusions,ICD10,440392,Retinal vascular occlusion,SNOMED
H330,H33.0,45547857,Retinal detachment with retinal break,ICD10,4055484,Rhegmatogenous retinal detachment,SNOMED
L409,L40.9,45533641,"Psoriasis, unspecified",ICD10,140168,Psoriasis,SNOMED
K309,K30,45591584,Dyspepsia,ICD10,439418,Indigestion,SNOMED
I471,I47.1,45567178,Supraventricular tachycardia,ICD10,4275423,Supraventricular tachycardia,SNOMED
E149,E14.9,45605408,Unspecified diabetes mellitus without complications,ICD10,4008576,Diabetes mellitus without complication,SNOMED
E050,E05.0,45600628,Thyrotoxicosis with diffuse goiter,ICD10,138717,Toxic diffuse goiter,SNOMED
H348A,H34.8,45547863,Other retinal vascular occlusions,ICD10,440392,Retinal vascular occlusion,SNOMED
G819,G81.9,45562106,"Hemiplegia, unspecified",ICD10,374022,Hemiplegia,SNOMED
S700,S70.0,45574306,Contusion of hip,ICD10,195401,Contusion of hip,SNOMED
S8280,S82.8,45536135,Fractures of other parts of lower leg,ICD10,4187096,Fracture of lower limb,SNOMED
Z760,,45542456,Issue of repeat prescription,,4082397,Repeated prescription,SNOMED
R509,R50.9,45582716,"Fever, unspecified",ICD10,437663,Fever,SNOMED
Z089A,Z08.9,45542401,Follow-up examination after unspecified treatment for malignant neoplasm,ICD10,4327050,"History and physical examination, follow-up for neoplastic disease",SNOMED
M485,M48.5,45582162,"Collapsed vertebra, not elsewhere classified",ICD10,4222001,Collapse of vertebra,SNOMED
N393,N39.3,45539046,Stress incontinence,ICD10,195007,Female stress incontinence,SNOMED
K439,K43.9,45533594,Ventral hernia without obstruction or gangrene,ICD10,4188155,Hernia of anterior abdominal wall,SNOMED
C649,C64,45600516,"Malignant neoplasm of kidney, except renal pelvis",ICD10,198985,Primary malignant neoplasm of kidney,SNOMED
Z867C,Z86.7,45576199,Personal history of diseases of the circulatory system,ICD10,4214956,History of clinical finding in subject,SNOMED
S060,S06.0,45582805,Concussion,ICD10,,,
F101,F10.1,45595844,"Mental and behavioral disorders due to use of alcohol, harmful use",ICD10,433753,Alcohol abuse,SNOMED
